subject = 102; date = 2017_Feb_09_1515;gender = female;age =19; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,5778.5056635
taskNr,trial,type,stimulus,response,RT
1,1,word,doorway,yes,1212.96430392
1,2,word,oxford,yes,785.190054863
1,3,word,capacity,yes,494.453383446
1,4,word,gracious,yes,359.24234632
1,5,nonword,brule,yes,349.445395361
1,6,word,desire,yes,556.339381317
1,7,word,ornament,yes,666.37825553
1,8,word,detective,yes,483.608744587
1,9,word,advice,yes,469.172318008
1,10,nonword,bleafs,no,782.588367842
1,11,word,errand,yes,603.08051603
1,12,word,mechanic,yes,527.129842598
1,13,word,cure,yes,654.546651902
1,14,word,pathetic,yes,425.186531211
1,15,word,aldi,yes,508.777201398
1,16,word,manchester,yes,477.430094274
1,17,word,lantern,yes,574.875902435
1,18,nonword,spleace,no,460.2705344
1,19,word,flock,yes,487.085072829
1,20,word,favourite,yes,471.863806844
1,21,word,brim,no,745.962624198
1,22,word,expression,yes,585.229054512
1,23,nonword,phroarlte,no,742.537611281
1,24,word,butterfly,yes,477.188912242
1,25,word,gravity,yes,494.609895191
1,26,word,whisky,yes,920.03703826
1,27,word,asda,yes,703.164502109
1,28,word,absolute,yes,463.821269863
1,29,word,infant,yes,425.965668906
1,30,nonword,furge,no,750.112893718
1,31,word,fantasy,yes,451.968855017
1,32,word,pony,yes,470.090292169
1,33,word,hold,yes,528.227990573
1,34,word,moment,yes,447.639552029
1,35,word,cabbage,yes,843.115935004
1,36,word,carlsberg,no,573.602142016
1,37,word,butcher,yes,554.998910975
1,38,word,horizontal,yes,473.049761044
1,39,word,kleenex,no,571.229663452
1,40,nonword,thrauphth,no,816.556832862
1,41,word,graduate,yes,444.466269295
1,42,nonword,vourque,no,711.261490356
1,43,word,twin,yes,647.872523608
1,44,word,eternal,yes,539.158725147
1,45,word,land,yes,578.57801811
1,46,word,accurate,yes,544.665714864
1,47,word,snickers,yes,503.378258953
1,48,word,ducati,yes,647.460575576
1,49,nonword,flewd,no,658.788433753
