subject = 105; date = 2017_Feb_09_1515;gender = female;age =19; native language = other
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,4418.56241645
taskNr,trial,type,stimulus,response,RT
1,1,nonword,brule,no,1427.22518556
1,2,word,moment,yes,590.60041816
1,3,nonword,wrarve,no,803.323926171
1,4,word,turnip,yes,759.213226149
1,5,word,ducati,no,1853.06164809
1,6,word,manchester,yes,518.035865156
1,7,word,ornament,yes,573.558839969
1,8,word,cure,yes,642.845596187
1,9,word,graduate,yes,501.561636338
1,10,nonword,thrauphth,no,717.650181381
1,11,word,mercy,yes,588.934292551
1,12,word,favourite,yes,417.616454186
1,13,word,errand,yes,629.086091416
1,14,word,path,yes,489.125566324
1,15,word,mechanic,yes,521.926912246
1,16,word,pony,yes,641.300923657
1,17,word,abandon,yes,563.952389406
1,18,word,gravity,yes,442.05524167
1,19,word,jaw,yes,796.846164856
1,20,word,eternal,yes,410.094941268
1,21,nonword,phroarlte,no,654.234208167
1,22,nonword,furge,no,1328.21046328
1,23,word,doorway,yes,551.692226203
1,24,word,gracious,yes,446.410146775
1,25,word,capacity,yes,489.265550626
1,26,word,lantern,yes,378.726223717
1,27,word,desire,yes,408.941426082
1,28,word,butterfly,yes,533.11794973
1,29,word,fantasy,yes,371.835352387
1,30,word,absolute,yes,441.435433691
1,31,word,detective,yes,388.882632367
1,32,word,kleenex,no,657.771161059
1,33,word,hoover,yes,667.740829289
1,34,word,robot,yes,421.727028443
1,35,nonword,vourque,no,961.201571627
1,36,word,carlsberg,yes,703.640358755
1,37,word,inferno,yes,487.593723228
1,38,word,advantage,yes,464.356632903
1,39,nonword,quoud,no,882.482846268
1,40,word,land,yes,483.606882161
1,41,word,twin,yes,420.435524778
1,42,word,expression,yes,455.9396205
1,43,nonword,skreets,no,658.038584981
1,44,word,feet,yes,484.707368771
1,45,word,haddock,no,701.520068571
1,46,word,butcher,yes,838.129526237
1,47,word,advice,yes,592.571885791
1,48,nonword,flewd,no,549.333592644
1,49,word,pathetic,yes,411.353943637
1,50,word,noun,yes,392.223721603
1,51,word,aldi,no,669.814362656
1,52,nonword,duntz,no,703.071868978
1,53,nonword,swawte,no,583.677615505
1,54,word,flock,yes,1189.07729886
1,55,word,accurate,yes,417.310256511
1,56,word,cabbage,yes,421.520901145
1,57,word,whisky,yes,409.65560195
1,58,word,brim,no,709.817909403
1,59,nonword,bleafs,no,741.759107914
1,60,nonword,spleace,no,661.01531568
1,61,word,horizontal,yes,471.062474186
1,62,word,oxford,yes,417.124941479
1,63,word,hold,yes,492.634579306
1,64,nonword,lawpth,no,605.43931229
1,65,word,infant,yes,441.484756069
1,66,word,snickers,yes,452.286916785
1,67,word,asda,yes,654.419808183
1,68,word,nescafe,yes,472.401019651
1,69,word,where,yes,481.862354092
