subject = 107; date = 2017_Feb_09_1517;gender = female;age =18; native language = English
taskOrder = [2, 1, 3, 4, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,6567.33625708
taskNr,trial,type,stimulus,response,RT
1,1,word,adventurer,yes,799.925981089
1,2,nonword,squarl,yes,1236.99819623
1,3,nonword,thalck,no,648.587422911
1,4,word,patient,yes,523.76842685
1,5,word,bush,yes,556.290974841
1,6,word,gratitude,no,395.464638714
1,7,word,gorilla,no,737.361447886
1,8,word,jog,yes,513.15388456
1,9,word,butler,yes,939.063569065
1,10,word,harbour,yes,1002.71630287
1,11,word,note,yes,503.802637104
1,12,word,laundry,yes,577.674006112
1,13,word,actual,yes,520.158922765
1,14,word,waitrose ,yes,504.696149845
1,15,word,raspberry,yes,577.888598666
1,16,nonword,phlourche,no,1200.39279712
1,17,word,insect,yes,877.415251918
1,18,nonword,drufe,yes,1888.41668237
1,19,nonword,gnuicked,no,841.825278476
1,20,word,against,yes,581.569322385
1,21,word,fell,yes,947.42084993
1,22,word,graze,yes,691.208558623
1,23,word,hostility,yes,820.261864923
1,24,word,evidence,yes,600.690116175
1,25,word,candle,yes,613.836225588
1,26,word,smarties,yes,778.390869033
1,27,word,brutality,yes,592.819556128
1,28,word,cube,yes,590.647819918
1,29,nonword,skrife,yes,620.466815773
1,30,word,dreamer,yes,992.961373646
1,31,word,tarnish,yes,967.369534541
1,32,word,kid,yes,525.740498677
1,33,nonword,semmed,no,1270.23822814
1,34,word,always,yes,481.19922867
1,35,word,describe,yes,691.08415721
1,36,word,farmyard,yes,1565.54456661
1,37,nonword,ghroil,no,1867.69391084
1,38,word,part,yes,1605.75169511
1,39,word,modern,yes,698.602662422
1,40,word,twix,yes,731.731666718
1,41,word,cambridge,yes,1003.49629903
1,42,word,fidgety,yes,1328.58120324
1,43,word,which,yes,432.81302508
1,44,word,orchestra,yes,1301.36063928
1,45,word,medicine,yes,582.966660615
1,46,word,heineken,no,1333.45773444
1,47,word,merry,yes,453.75474263
1,48,nonword,skups,no,960.966909304
1,49,nonword,tomps,no,800.67954259
1,50,word,ability,yes,565.805498511
1,51,word,cathedral,yes,724.278783426
1,52,word,water,yes,476.761833765
1,53,word,hood,yes,447.961995378
1,54,nonword,bloage,no,795.163276605
1,55,word,essay,yes,624.936555047
1,56,word,liverpool,yes,541.427816264
1,57,word,lamp,yes,605.302917305
1,58,word,pond,yes,442.481184378
1,59,word,incident,yes,590.338060632
1,60,word,ikea,yes,564.189525321
1,61,word,turn,yes,762.691422366
1,62,nonword,teigged,no,1041.79075686
1,63,word,andrex,yes,1117.48149525
1,64,nonword,scruilds,no,717.777881306
1,65,word,dependable,yes,2686.23748235
1,66,word,exhaustion,yes,1447.37979677
1,67,word,flood,yes,554.955837782
1,68,word,tesco,yes,586.130497046
1,69,word,kenco,no,959.971698467
1,70,nonword,garphed,no,1559.68433153
taskNr,question,response,RT
1,How long is the M25?,0500,6821.80381892
taskNr,trial,stimulus,response,RT
1,1,cljw,cljw,4268.21826212
1,2,gbcnd,gbcnd,3184.5608633
1,3,hnktzm,hnktzm,9036.4909498
1,4,rjmzdbk,rjmzdbk,5285.07557418
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,6960.33837134
taskNr,trial,type,stimulus,response,RT
2,1,word,moment,yes,915.145549458
2,2,nonword,duntz,no,627.511351369
2,3,nonword,skreets,no,928.006157745
2,4,word,aldi,yes,753.077377565
2,5,word,butcher,yes,856.183989905
2,6,word,robot,yes,795.235429425
2,7,word,where,yes,808.987995144
2,8,word,nescafe,yes,1486.18398979
2,9,word,capacity,yes,639.659762383
2,10,word,mechanic,yes,755.484231748
2,11,word,fantasy,yes,994.616222102
2,12,word,hold,yes,632.966349367
2,13,nonword,bleafs,no,829.462275375
2,14,word,lantern,yes,1170.5352366
2,15,word,cure,yes,616.834919434
2,16,word,feet,yes,541.332649067
2,17,word,infant,yes,541.215090081
2,18,word,absolute,yes,733.053741511
2,19,word,graduate,yes,524.819929153
2,20,word,mercy,yes,605.349256657
2,21,word,horizontal,yes,562.510418706
2,22,nonword,flewd,no,993.701250292
2,23,word,advice,yes,1031.40573483
2,24,word,expression,yes,619.080984965
2,25,word,oxford,yes,591.578030493
2,26,word,kick,yes,789.415935986
2,27,word,haddock,no,1035.19562073
2,28,nonword,brule,yes,806.884368882
2,29,word,path,yes,492.686135229
2,30,word,detective,yes,582.527212799
2,31,word,noun,yes,588.361634873
2,32,word,pathetic,yes,538.220750168
2,33,word,flock,yes,562.054487877
2,34,word,doorway,yes,689.255458303
2,35,word,inferno,yes,1507.00752623
2,36,word,advantage,yes,555.885115638
2,37,nonword,wrarve,no,1403.09106186
2,38,word,pony,yes,752.715058625
2,39,nonword,furge,no,1495.73832145
2,40,word,kleenex,no,1217.30018035
2,41,nonword,quoud,no,1230.26746279
