subject = 113; date = 2017_Feb_09_1541;gender = male;age =19; native language = English
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,4355.68109719
taskNr,trial,type,stimulus,response,RT
1,1,word,mechanic,yes,908.936057735
1,2,word,turnip,yes,654.761460464
1,3,word,whisky,yes,641.896498099
1,4,word,mercy,yes,581.747527525
1,5,word,detective,yes,571.587671817
1,6,word,feet,yes,546.154755255
1,7,word,inferno,yes,1313.97275612
1,8,word,graduate,yes,634.254214092
1,9,word,path,yes,774.097157439
1,10,nonword,wrarve,no,580.536480702
1,11,word,noun,yes,714.377371391
1,12,word,butterfly,yes,499.53691609
1,13,word,cabbage,yes,580.765068124
1,14,word,fantasy,yes,490.589351248
1,15,word,ducati,yes,1252.45785905
1,16,word,robot,yes,712.082167069
1,17,nonword,vourque,no,697.243888804
1,18,word,where,yes,507.079990057
1,19,word,lantern,yes,628.296634939
1,20,word,butcher,yes,592.82608697
1,21,word,horizontal,yes,566.62001618
1,22,nonword,flewd,no,645.191267016
1,23,word,gravity,yes,545.66834608
1,24,word,manchester,yes,513.53393044
1,25,word,infant,yes,650.810474588
1,26,word,kick,yes,493.897493317
1,27,word,pathetic,yes,455.794302427
1,28,word,aldi,yes,562.97878956
1,29,word,brim,no,642.205324373
1,30,word,hold,yes,494.724140066
1,31,word,oxford,yes,512.612116669
1,32,word,twin,yes,585.887914436
1,33,word,land,yes,471.65702557
1,34,word,advice,yes,490.217391285
1,35,nonword,skreets,no,692.0840331
1,36,word,expression,yes,477.926852036
1,37,word,ornament,yes,640.509734396
1,38,word,favourite,yes,636.304658838
1,39,word,gracious,yes,560.827579757
1,40,word,abandon,yes,527.974435536
1,41,nonword,bleafs,no,824.557753309
1,42,word,haddock,yes,492.98127761
1,43,word,errand,yes,655.533992656
1,44,nonword,brule,no,586.698077997
1,45,word,jaw,yes,536.548174423
1,46,nonword,furge,no,640.339304606
1,47,word,advantage,yes,516.91329226
1,48,word,carlsberg,no,653.484791925
1,49,word,asda,yes,617.272501084
1,50,word,eternal,yes,581.801953085
1,51,nonword,quoud,no,619.633638125
1,52,word,desire,yes,496.162841329
1,53,nonword,lawpth,no,674.701747863
1,54,word,snickers,yes,709.237730916
1,55,word,kleenex,no,982.320706593
1,56,nonword,phroarlte,no,764.051128965
1,57,word,absolute,yes,634.492442623
1,58,word,doorway,yes,574.389189511
1,59,word,flock,yes,636.85575666
1,60,word,accurate,yes,440.69042732
1,61,nonword,thrauphth,no,676.59762394
1,62,word,hoover,yes,567.088076146
1,63,word,pony,yes,557.606518647
1,64,word,capacity,yes,652.783168509
1,65,nonword,spleace,no,639.95739253
1,66,word,cure,yes,652.498289506
1,67,nonword,duntz,no,743.62971948
1,68,nonword,swawte,no,599.427442939
1,69,word,nescafe,yes,709.254525107
1,70,word,moment,yes,830.417988444
taskNr,question,response,RT
1,How tall is Big Ben?,60,18922.1160664
taskNr,trial,stimulus,response,RT
1,1,mfwk,mfwk,4334.88492877
1,2,fkxhw,fkxhw,4334.9225602
1,3,dxsrtm,dxsrtm,3501.30030478
1,4,ltswcdv,ltswcdt,10953.7298626
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,31447.7564222
taskNr,trial,type,stimulus,response,RT
2,1,word,waitrose ,yes,551.555016486
2,2,word,part,yes,463.425079302
2,3,word,insect,yes,513.950985856
2,4,word,heineken,yes,562.519126688
2,5,word,smarties,yes,482.387883327
2,6,nonword,thalck,no,540.257199726
2,7,word,exhaustion,yes,572.121664503
2,8,nonword,squarl,no,706.617528136
2,9,word,adventurer,yes,500.465260935
2,10,nonword,tomps,no,581.641786412
2,11,word,jog,yes,563.510605192
2,12,word,cube,yes,898.712135357
2,13,word,harbour,yes,523.789886181
2,14,word,always,yes,404.333519953
2,15,word,laundry,yes,481.578652747
2,16,word,hostility,yes,523.457734642
2,17,word,note,yes,500.011196127
2,18,nonword,scruilds,no,813.887852215
2,19,word,lamp,yes,498.325869266
2,20,word,brutality,yes,515.538968699
2,21,nonword,phlourche,no,596.070473373
2,22,word,essay,yes,441.927287437
2,23,word,twix,yes,685.824158718
2,24,nonword,teigged,no,743.62971948
2,25,nonword,garphed,no,759.43677302
2,26,word,butler,yes,502.558313136
2,27,word,dreamer,yes,479.772656603
2,28,word,flood,yes,474.327610864
2,29,nonword,bloage,no,652.873670479
2,30,word,fidgety,yes,760.049760516
2,31,word,ikea,yes,559.173975256
2,32,word,tarnish,yes,606.41102196
2,33,word,pond,yes,467.54400697
2,34,word,liverpool,yes,582.773216418
2,35,nonword,gnuicked,no,597.291783284
2,36,word,describe,yes,483.120296063
2,37,word,kid,yes,373.028550093
2,38,nonword,skups,no,579.610934859
2,39,word,gratitude,yes,530.161099712
2,40,word,hood,yes,442.684580456
2,41,word,turn,yes,558.599863143
2,42,word,kenco,no,661.774273787
2,43,word,which,yes,633.606705233
2,44,word,cambridge,yes,517.434844805
2,45,word,cathedral,yes,494.654786336
2,46,word,bush,yes,472.534987872
2,47,word,medicine,yes,875.759470044
2,48,nonword,skrife,no,646.184611571
2,49,nonword,ghroil,no,602.01156931
2,50,word,andrex,yes,791.197984683
2,51,word,ability,yes,1044.29340051
2,52,word,tesco,yes,567.990918702
2,53,word,modern,yes,1070.50755739
2,54,word,against,yes,600.882316328
2,55,word,candle,yes,534.050506947
2,56,nonword,drufe,no,597.910990851
2,57,word,dependable,yes,698.444361537
2,58,word,merry,yes,476.243080193
2,59,nonword,semmed,no,838.784288091
2,60,word,water,yes,586.558437528
2,61,word,evidence,yes,560.401816241
2,62,word,orchestra,yes,583.596442128
2,63,word,patient,yes,469.452323188
2,64,word,gorilla,yes,576.681905834
2,65,word,farmyard,yes,279.1979225
2,66,word,actual,yes,449.83112521
2,67,word,graze,yes,541.723580274
2,68,word,fell,yes,621.594202908
2,69,word,raspberry,yes,514.767058514
2,70,word,incident,yes,555.315357342
taskNr,question,response,RT
2,How long is the M25?,120,28308.4191703
taskNr,trial,stimulus,response,RT
2,1,jfgk,jfgk,3184.51016981
2,2,ktlxg,ktlxg,3918.05032032
2,3,blcksj,blcksj,15138.2642906
2,4,mkthwvs,mkthswv,5568.63998261
taskNr,trial,type,stimulus,response,RT
3,1,practice,glasgow,yes,801.389562752
3,2,practice,jenths,no,606.443677301
3,3,practice,absorb,yes,564.303352614
3,4,practice,festival,yes,458.877589117
3,5,practice,france,yes,614.044597867
3,6,practice,woned,no,658.543260564
3,7,practice,cabinet,yes,701.674130745
3,8,practice,dentist,yes,510.860235139
3,9,practice,sought,yes,488.741991663
3,10,practice,chase,yes,362.693910574
3,11,summer,summer,yes,417.892641679
3,12,nonword,broge,no,583.117186063
3,13,nonword,fluilts,no,757.659389172
3,14,winter,january,yes,508.739192621
3,15,nonword,sckrulled,no,590.013995155
3,16,summer,suncream,yes,619.842321321
3,17,winter,freezing,yes,480.327486468
3,18,neutral,horse,yes,531.564035598
3,19,neutral,sector,yes,627.406543528
3,20,neutral,devil,yes,464.644834225
3,21,summer,sandcastle,yes,571.179324499
3,22,neutral,dog,yes,609.680599591
3,23,nonword,moarph,no,598.860483937
3,24,neutral,table,yes,604.032468749
3,25,neutral,cat,yes,449.247994024
3,26,nonword,gluphs,no,604.464452335
3,27,nonword,sproped,no,617.631087865
3,28,neutral,buffalo,yes,526.13049699
3,29,nonword,floaphts,no,550.669590099
3,30,neutral,circling,yes,438.558499736
3,31,neutral,trunk,yes,826.434036193
3,32,neutral,dexterity,yes,814.877153694
3,33,neutral,hair,yes,475.246003596
3,34,summer,barbeque,yes,510.544566758
3,35,neutral,cow,yes,687.772594392
3,36,neutral,clean,yes,538.251228456
3,37,nonword,frusk,no,674.088449334
3,38,neutral,horn,yes,532.63606393
3,39,neutral,eat,yes,469.155004044
3,40,neutral,house,yes,519.68992973
3,41,neutral,citizen,yes,568.231635232
3,42,neutral,potential,yes,502.757044218
3,43,winter,hibernate,yes,496.637743374
3,44,neutral,walk,yes,874.520743935
3,45,neutral,tiger,yes,532.935560128
3,46,winter,frost,yes,372.749269125
3,47,summer,sandals,yes,467.402811482
3,48,neutral,arm,yes,397.953287291
3,49,neutral,voice,yes,379.189525411
3,50,nonword,glebb,no,633.785221115
3,51,neutral,sobering,yes,621.603532985
3,52,neutral,shoe,yes,874.797225872
3,53,nonword,splooged,no,525.189712003
3,54,neutral,equipment,yes,558.435964398
3,55,summer,august,yes,637.618336739
3,56,winter,winter,yes,538.160415483
3,57,nonword,sckood,no,721.984201024
3,58,summer,hot,yes,930.460284872
3,59,neutral,analyse,yes,658.861105941
3,60,winter,icicle,no,942.732163967
3,61,neutral,basin,yes,590.443801717
3,62,neutral,land,yes,500.28208
3,63,neutral,pencil,yes,565.487653192
3,64,neutral,boardroom,yes,620.014617161
3,65,neutral,boldly,yes,647.847235174
3,66,neutral,water,yes,467.013124347
3,67,neutral,agility,yes,645.557006908
3,68,neutral,predator,yes,537.385395291
3,69,nonword,geigs,no,649.263233179
3,70,winter,snow,yes,460.395907197
taskNr,taskId,acnhor,question,response,RT
3,season,winter,Thinking about the pictures you saw, which season describes these best? (type 1 for winter, 2 for spring, 3 for summer, 4 for autumn),1,4618.18996081
3,season,winter,Thinking about the pictures you saw, on a day like those shown, what temperature is it? (in degrees Celcius),0,25724.8022019
3,season,winter,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) what a person might do on a day like those.,make a snowman,13742.7141258
taskNr,trial,stimulus,response,RT
3,1,wzkd,wzkd,2184.20041053
3,2,vrdfz,vrdfz,5035.09454499
3,3,lwmbzh,lwmbzh,3484.63643715
3,4,sdhmnwg,sdhmnwg,6152.13752567
taskNr,trial,type,stimulus,response,RT
4,1,practice,dancer,yes,484.486222558
4,2,practice,click,yes,374.362443225
4,3,practice,portsmouth,yes,500.273682905
4,4,practice,carnival,yes,566.154133208
4,5,practice,germany,yes,509.356534196
4,6,practice,carrier,yes,462.527523778
4,7,practice,involve,yes,410.469614988
4,8,practice,shrinths,no,647.745848109
4,9,practice,thonz,no,498.860172898
4,10,practice,scrape,yes,436.061765271
4,11,nonword,sowntse,no,607.977234555
4,12,neutral,fracture,yes,541.18803257
4,13,inexpensive,fiat,yes,845.001866022
4,14,neutral,ordinate,yes,568.773713981
4,15,neutral,write,yes,455.282701994
4,16,neutral,forest,yes,530.542078748
4,17,neutral,clay,yes,651.066119317
4,18,nonword,skronnth,no,590.233563475
4,19,inexpensive,citroen,yes,660.065932723
4,20,nonword,twimed,no,951.251166261
4,21,expensive,limousine,yes,622.974435508
4,22,neutral,portrait,yes,483.475461835
4,23,neutral,bait,yes,541.347577266
4,24,neutral,time,yes,589.233687875
4,25,neutral,democracy,yes,507.05044475
4,26,neutral,day,yes,748.299122992
4,27,inexpensive,volkswagen,yes,548.081420682
4,28,neutral,zoo,yes,411.962119804
4,29,neutral,liberal,yes,505.19904212
4,30,expensive,rolls royce,yes,338.426323317
4,31,neutral,piece,yes,466.345089255
4,32,neutral,crop,yes,788.882254157
4,33,neutral,bottle,yes,498.673881928
4,34,nonword,frirmths,no,612.609317672
4,35,neutral,observer,yes,490.427629527
4,36,neutral,locust,yes,468.283261813
4,37,neutral,drone,yes,1095.52652857
4,38,inexpensive,nissan,yes,545.889158413
4,39,neutral,appetite,yes,457.746470114
4,40,nonword,thourmb,no,589.016607555
4,41,expensive,bentley,yes,426.82776638
4,42,nonword,kirmbed,no,615.393419168
4,43,neutral,candle,yes,444.587920618
4,44,inexpensive,kia,yes,472.464701132
4,45,neutral,birthplace,yes,483.040990221
4,46,neutral,bluster,yes,508.952851902
4,47,neutral,costume,yes,462.120109471
4,48,neutral,background,yes,505.346457678
4,49,neutral,diary,yes,498.577781924
4,50,nonword,dwoacsed,no,548.438452446
4,51,nonword,doarged,no,723.633762536
4,52,neutral,soup,yes,700.107296143
4,53,expensive,maserati,yes,613.931081665
4,54,neutral,always,yes,403.107233957
4,55,neutral,edit,yes,472.345897841
4,56,neutral,cotton,yes,458.8962493
4,57,neutral,circus,yes,502.134415612
4,58,nonword,jouche,no,632.020588411
4,59,nonword,durpths,no,683.837158664
4,60,inexpensive,peugeot,yes,501.664489624
4,61,neutral,dove,yes,582.863718359
4,62,nonword,vakes,no,676.747216494
4,63,neutral,capture,yes,447.209056438
4,64,expensive,porsche,yes,490.430117556
4,65,neutral,paper,yes,484.321079799
4,66,neutral,stapler,yes,462.207812408
4,67,inexpensive,hyundai,yes,521.425950137
4,68,nonword,kulced,no,585.965043225
4,69,expensive,ferrari,yes,487.811780797
4,70,expensive,lamborghini,yes,545.693537366
