subject = 11; date = 2017_Feb_09_1412;gender = male;age =21; native language = English
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,3639.22721666
taskNr,trial,type,stimulus,response,RT
1,1,word,gracious,yes,2264.36958893
1,2,word,jaw,yes,665.067345137
1,3,word,pathetic,yes,523.010643665
1,4,word,detective,yes,466.406407475
1,5,word,accurate,yes,412.512911484
1,6,nonword,phroarlte,no,448.720167391
1,7,word,flock,yes,515.478275425
1,8,nonword,wrarve,no,578.836269095
1,9,word,eternal,yes,552.207836299
1,10,word,errand,yes,534.209980862
1,11,word,hoover,yes,476.905536663
1,12,nonword,spleace,no,494.37966157
1,13,nonword,brule,no,679.790245485
1,14,word,horizontal,yes,473.062945472
1,15,word,mercy,yes,491.165718064
1,16,word,carlsberg,yes,491.917529376
1,17,word,path,yes,508.668638242
1,18,word,kleenex,yes,509.424155869
1,19,word,cure,yes,365.494625992
1,20,nonword,bleafs,yes,419.694890617
1,21,word,capacity,yes,543.155594729
1,22,word,whisky,yes,470.526687044
1,23,nonword,lawpth,no,615.978086018
1,24,nonword,vourque,no,404.005497869
1,25,word,advice,yes,520.134259772
1,26,word,cabbage,yes,456.192664453
1,27,nonword,quoud,no,610.302580579
1,28,word,haddock,yes,446.293957939
1,29,word,butterfly,yes,513.071737951
1,30,word,favourite,yes,449.817806249
1,31,word,butcher,yes,395.926876168
1,32,word,graduate,yes,392.780501628
1,33,nonword,furge,no,398.30233762
1,34,word,expression,yes,443.108809646
1,35,word,brim,yes,613.927069469
1,36,word,ornament,yes,482.59558226
1,37,word,robot,yes,347.361917724
1,38,nonword,flewd,no,514.223260863
1,39,word,ducati,no,650.972522271
1,40,word,absolute,yes,388.926506392
1,41,word,doorway,yes,482.441627712
1,42,word,turnip,no,435.186423245
1,43,word,asda,yes,502.710027504
1,44,word,inferno,yes,430.734571244
1,45,word,pony,yes,570.20968321
1,46,word,infant,yes,439.557021484
1,47,word,hold,yes,434.353073069
1,48,nonword,skreets,no,781.154197175
1,49,word,snickers,yes,483.054309734
1,50,nonword,duntz,no,483.767062251
1,51,word,aldi,yes,564.532467164
1,52,word,fantasy,yes,491.218461771
1,53,word,oxford,yes,476.668047486
1,54,word,feet,yes,606.11188109
1,55,nonword,swawte,no,730.139365885
1,56,word,mechanic,yes,457.333638624
1,57,word,twin,yes,460.134185676
1,58,word,lantern,yes,462.236520369
1,59,word,advantage,yes,473.027307831
1,60,word,nescafe,yes,730.470653274
1,61,word,manchester,yes,505.690473248
1,62,word,moment,yes,466.44831734
1,63,word,abandon,yes,483.885379159
1,64,word,kick,yes,596.639970783
1,65,word,land,yes,497.992176272
1,66,word,desire,yes,379.403277941
1,67,word,where,yes,369.669359818
1,68,word,noun,yes,519.140682823
1,69,nonword,thrauphth,no,535.195289878
1,70,word,gravity,yes,406.60105733
taskNr,question,response,RT
1,How tall is Big Ben?,25,11905.3168199
taskNr,trial,stimulus,response,RT
1,1,dgkn,dgkn,7072.65456679
1,2,xzmsr,xzmsr,4353.77041786
1,3,dlwkzs,dlwkzs,3803.2010569
1,4,nvgjldf,nvgjldf,4487.19654209
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,18456.4826121
taskNr,trial,type,stimulus,response,RT
2,1,word,water,yes,569.551670109
2,2,word,bush,yes,374.893265311
2,3,word,dreamer,yes,396.426658204
2,4,nonword,tomps,yes,417.268966266
2,5,nonword,bloage,no,524.733794096
2,6,word,harbour,yes,420.155613858
2,7,word,cube,yes,399.615512812
2,8,word,farmyard,yes,459.779805096
2,9,word,tarnish,yes,477.902819926
2,10,word,against,yes,327.343551558
2,11,word,describe,yes,334.930944256
2,12,word,incident,yes,333.789970085
2,13,word,gorilla,yes,316.669370339
2,14,word,actual,yes,332.214216935
2,15,word,liverpool,yes,347.085369751
2,16,word,lamp,yes,305.995474337
2,17,word,andrex,yes,354.170984763
2,18,word,adventurer,yes,416.434475686
2,19,nonword,phlourche,no,435.942796234
2,20,word,ability,yes,342.720473593
2,21,word,twix,yes,309.602572059
2,22,word,essay,yes,357.829115586
2,23,word,raspberry,yes,300.058816327
2,24,word,which,yes,292.263870127
2,25,word,brutality,yes,549.200591107
2,26,word,turn,yes,371.200922353
2,27,word,evidence,yes,416.780588275
2,28,nonword,ghroil,no,532.296668098
2,29,nonword,semmed,no,586.965638737
2,30,word,smarties,yes,471.647133934
2,31,word,fidgety,yes,697.085612104
2,32,word,ikea,yes,345.680106955
2,33,nonword,thalck,no,592.563026585
2,34,word,orchestra,yes,421.248690982
2,35,nonword,scruilds,yes,328.757082229
2,36,word,always,yes,376.270873297
2,37,word,candle,yes,333.805365546
2,38,word,kenco,yes,500.686665706
2,39,word,part,yes,468.777877511
2,40,word,hood,yes,422.168711957
2,41,nonword,drufe,no,753.689848294
2,42,word,kid,yes,487.582283735
2,43,nonword,teigged,no,528.329487774
2,44,nonword,squarl,no,655.704628502
2,45,word,gratitude,yes,473.683040123
2,46,word,modern,yes,523.116701224
2,47,word,medicine,yes,458.521939523
2,48,word,pond,yes,916.573177325
2,49,word,cathedral,yes,387.712546391
2,50,word,note,yes,416.560205165
2,51,word,fell,yes,436.027471151
2,52,word,merry,yes,478.834529931
2,53,word,waitrose ,yes,584.263166413
2,54,word,jog,yes,420.961309224
2,55,nonword,skrife,yes,312.43077392
2,56,word,butler,yes,560.686454759
2,57,word,dependable,yes,542.689739726
2,58,nonword,gnuicked,no,525.421742757
2,59,nonword,garphed,no,588.826778054
2,60,word,patient,yes,401.505732385
2,61,word,hostility,yes,429.675421095
2,62,word,exhaustion,yes,449.174333247
2,63,word,cambridge,yes,355.298844283
2,64,word,flood,yes,569.499496662
2,65,word,insect,yes,406.84396337
2,66,word,graze,yes,474.984811211
2,67,word,tesco,yes,332.44315302
2,68,nonword,skups,no,563.311379636
2,69,word,laundry,yes,465.346116864
2,70,word,heineken,yes,506.798375689
taskNr,question,response,RT
2,How long is the M25?,300,8893.87799788
taskNr,trial,stimulus,response,RT
2,1,gbwr,gbwr,2168.69881906
2,2,rnwkj,rnwkj,2218.7229243
2,3,wrsgjv,wrsgjv,2302.02401744
2,4,tjcxbvm,tjcxbvm,3819.99493093
taskNr,trial,type,stimulus,response,RT
3,1,practice,woned,no,781.356048654
3,2,practice,glasgow,yes,562.586937973
3,3,practice,jenths,no,527.932342084
3,4,practice,dentist,yes,447.330300056
3,5,practice,sought,yes,530.12961545
3,6,practice,chase,yes,945.501804876
3,7,practice,festival,yes,407.915658026
3,8,practice,absorb,yes,372.078748303
3,9,practice,cabinet,yes,337.581813277
3,10,practice,france,yes,320.484876982
3,11,summer,august,yes,400.050861994
3,12,nonword,sproped,yes,308.199875173
3,13,summer,sandcastle,yes,428.441503958
3,14,neutral,water,yes,359.929739672
3,15,neutral,eat,yes,414.122876828
3,16,neutral,house,yes,298.272943706
3,17,winter,freezing,yes,299.156186578
3,18,nonword,floaphts,yes,307.487122656
3,19,neutral,land,yes,299.717550457
3,20,neutral,buffalo,yes,323.942011571
3,21,neutral,horn,yes,331.518285384
3,22,neutral,sobering,yes,667.079302832
3,23,neutral,hair,yes,380.321588193
3,24,neutral,walk,yes,361.860158504
3,25,neutral,clean,yes,384.054130409
3,26,nonword,frusk,yes,332.928109798
3,27,winter,frost,yes,275.833214808
3,28,neutral,analyse,yes,253.396051761
3,29,neutral,devil,yes,351.664946997
3,30,neutral,horse,yes,349.90330803
3,31,neutral,basin,yes,532.100518583
3,32,winter,hibernate,yes,498.824956245
3,33,neutral,pencil,yes,482.904346602
3,34,neutral,dog,yes,419.641861808
3,35,neutral,equipment,yes,519.161780248
3,36,nonword,gluphs,no,550.540850847
3,37,winter,icicle,yes,500.578042236
3,38,neutral,agility,yes,476.607891207
3,39,neutral,table,yes,382.107460813
3,40,winter,january,yes,466.937835736
3,41,neutral,citizen,yes,436.384417641
3,42,nonword,broge,no,791.21683666
3,43,neutral,boardroom,yes,475.701555144
3,44,summer,summer,yes,405.281895015
3,45,neutral,boldly,yes,353.303422453
3,46,summer,barbeque,yes,527.504690632
3,47,nonword,splooged,no,518.898632086
3,48,neutral,cat,yes,406.256655289
3,49,nonword,sckrulled,no,674.460282433
3,50,winter,snow,yes,451.76276518
3,51,summer,suncream,yes,501.857290452
3,52,neutral,cow,yes,757.939563715
3,53,nonword,glebb,no,531.787762884
3,54,winter,winter,yes,547.192054568
3,55,neutral,voice,yes,817.94705044
3,56,neutral,tiger,yes,389.068771794
3,57,neutral,predator,yes,513.924475061
3,58,neutral,sector,yes,449.969194829
3,59,nonword,geigs,no,732.12623474
3,60,neutral,potential,yes,450.660279603
3,61,neutral,trunk,yes,508.773840498
3,62,summer,sandals,yes,380.861854646
3,63,neutral,dexterity,yes,498.362237297
3,64,nonword,sckood,no,635.144855536
3,65,neutral,circling,yes,445.786478173
3,66,nonword,moarph,no,576.592524245
3,67,nonword,fluilts,no,565.940580971
3,68,neutral,shoe,yes,419.33338251
3,69,summer,hot,yes,414.802842657
3,70,neutral,arm,yes,442.965118738
taskNr,taskId,acnhor,question,response,RT
3,season,winter,Thinking about the pictures you saw, which season describes these best? (type 1 for winter, 2 for spring, 3 for summer, 4 for autumn),1,5354.45893678
3,season,winter,Thinking about the pictures you saw, on a day like those shown, what temperature is it? (in degrees Celcius),0,15495.9830696
3,season,winter,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) what a person might do on a day like those.,build a snowman, go sledging,14495.1548512
taskNr,trial,stimulus,response,RT
3,1,fjwz,fjwz,2535.61296285
3,2,bdtnj,bdtnj,3152.83038287
3,3,cgvjnk,cgvjnk,2885.90714429
3,4,bgxlvch,bgxlvch,3369.6149055
taskNr,trial,type,stimulus,response,RT
4,1,practice,shrinths,no,502.41808407
4,2,practice,germany,yes,494.507386815
4,3,practice,dancer,yes,383.266396413
4,4,practice,thonz,no,476.103547495
4,5,practice,portsmouth,yes,445.515062078
4,6,practice,click,yes,432.335128193
4,7,practice,scrape,yes,571.1482357
4,8,practice,carrier,yes,448.490090901
4,9,practice,carnival,yes,411.297240877
4,10,practice,involve,yes,391.458488302
4,11,neutral,background,yes,428.302944929
4,12,nonword,skronnth,no,495.781788253
4,13,neutral,bottle,yes,352.55161114
4,14,neutral,time,yes,350.739794318
4,15,neutral,birthplace,yes,436.916701205
4,16,nonword,sowntse,no,527.741039346
4,17,nonword,doarged,no,663.146334642
4,18,nonword,twimed,no,649.07717082
4,19,expensive,bentley,yes,459.025998076
4,20,neutral,zoo,yes,421.132939984
4,21,neutral,diary,yes,408.634967811
4,22,neutral,paper,yes,444.744719134
4,23,neutral,liberal,yes,399.624350946
4,24,inexpensive,nissan,yes,403.749477235
4,25,nonword,thourmb,no,479.923900799
4,26,neutral,bait,yes,449.355087301
4,27,neutral,costume,yes,379.438060219
4,28,neutral,bluster,yes,448.997570609
4,29,neutral,edit,yes,387.086749717
4,30,neutral,piece,yes,391.948006698
4,31,neutral,observer,yes,428.833517828
4,32,neutral,appetite,yes,416.290784779
4,33,neutral,democracy,yes,419.773293368
4,34,expensive,limousine,yes,495.251215354
4,35,inexpensive,citroen,yes,472.000944254
4,36,nonword,dwoacsed,no,497.42511037
4,37,neutral,candle,yes,410.192189389
4,38,expensive,ferrari,yes,430.370212183
4,39,expensive,maserati,yes,593.833151448
4,40,nonword,durpths,no,726.534548972
4,41,neutral,fracture,yes,445.730313251
4,42,neutral,locust,yes,496.552131139
4,43,expensive,rolls royce,yes,641.31985791
4,44,inexpensive,peugeot,yes,515.948692104
4,45,neutral,ordinate,yes,603.367213742
4,46,inexpensive,volkswagen,yes,591.345360212
4,47,nonword,vakes,no,676.004389417
4,48,neutral,day,yes,461.296257272
4,49,neutral,forest,yes,399.421929265
4,50,neutral,clay,yes,467.556219781
4,51,neutral,always,yes,437.010784517
4,52,nonword,jouche,no,543.800208077
4,53,nonword,frirmths,no,574.536375876
4,54,neutral,crop,yes,363.877533178
4,55,neutral,write,yes,354.086879932
4,56,neutral,capture,yes,440.288875718
4,57,expensive,lamborghini,yes,483.060581959
4,58,neutral,dove,yes,411.825247924
4,59,neutral,soup,yes,375.983491482
4,60,neutral,drone,yes,445.506794087
4,61,nonword,kulced,no,480.318480637
4,62,neutral,circus,yes,401.766314695
4,63,inexpensive,kia,yes,469.91115401
4,64,neutral,cotton,yes,447.367648303
4,65,inexpensive,fiat,yes,410.161683627
4,66,neutral,stapler,yes,662.302150624
4,67,expensive,porsche,yes,512.278872135
4,68,inexpensive,hyundai,yes,472.35418437
4,69,nonword,kirmbed,no,705.795162357
4,70,neutral,portrait,yes,409.704096499
taskNr,taskId,acnhor,question,response,RT
4,cars,inexpensive,Thinking about the pictures you saw, what type of car describes these best? (type 1 for luxury, 2 for economy, 3 for people carrier, 4 for commercial),2,10391.8376726
4,cars,inexpensive,Thinking about the pictures you saw, how much would a car like those shown cost? (in pounds),10000,14795.4457397
4,cars,inexpensive,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) who would drive a car like those.,normal everyday people,17914.6367714
taskNr,trial,stimulus,response,RT
4,1,zlrn,zlrn,1784.99849897
4,2,vzsnr,vzsnr,7456.29444544
4,3,zkxfjv,zkxfjv,3653.18205493
4,4,xwfjgbv,jxwfgbv,5671.48297274
taskNr,question,response,RT
5,Is the average weight of a dog greater or less than 5 kilograms?,greater,4488.22518648
taskNr,trial,type,stimulus,response,RT
5,1,practice,tin,yes,649.916508177
5,2,practice,cupboard,yes,443.868888891
5,3,practice,phlynsed,no,510.662064364
5,4,practice,scaffold,yes,534.734851797
5,5,practice,carpet,yes,589.457991649
5,6,practice,angel,yes,474.130648654
5,7,practice,belgium,yes,435.533391195
5,8,practice,knurdge,no,454.365737212
5,9,practice,column,yes,384.487768984
5,10,practice,sticker,yes,485.343385604
5,11,neutral,bungalow,yes,462.114211987
5,12,neutral,bookcase,yes,376.220695558
5,13,neutral,visit,yes,381.704042898
5,14,neutral,easter,yes,371.239981207
5,15,neutral,chess,yes,336.761862854
5,16,neutral,eye,yes,391.615008703
5,17,neutral,dormant,yes,444.479005004
5,18,neutral,pavement,yes,375.263326394
5,19,neutral,wrapper,yes,380.805119523
5,20,nonword,dwurme,no,482.31988959
5,21,neutral,beginner,yes,427.069597994
5,22,bigDog,mastiff,yes,630.55558491
5,23,neutral,palace,no,129.842119641
5,24,bigDog,guard dog,yes,673.588443606
5,25,neutral,window,yes,546.862192743
5,26,neutral,shoe,yes,409.582073276
5,27,neutral,climate,yes,405.801349028
5,28,neutral,fresh,yes,361.92772747
5,29,neutral,officer,yes,400.102465297
5,30,bigDog,alsatian,yes,652.2189838
5,31,neutral,calculator,yes,558.196097612
5,32,nonword,quoigned,no,612.234139757
5,33,nonword,blainnth,no,648.238118622
5,34,nonword,pylmbs,no,1074.8894735
5,35,neutral,ceramic,yes,555.811227823
5,36,nonword,fenth,no,761.859132152
5,37,neutral,ruby,yes,471.721260168
5,38,nonword,hoossed,no,1097.16612461
5,39,neutral,magnetic,yes,505.422193208
5,40,littleDog,terrier,yes,385.515273025
5,41,bigDog,rottweiler,yes,742.360505043
5,42,nonword,sworntch,no,532.907354471
5,43,neutral,train,yes,395.620392577
5,44,neutral,tower,yes,392.458337476
5,45,littleDog,little,yes,525.296868582
5,46,littleDog,chihuahua,yes,628.698151908
5,47,bigDog,large,yes,424.00305171
