subject = 12; date = 2017_Feb_09_1412;gender = male;age =19; native language = other
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,5062.09889974
taskNr,trial,type,stimulus,response,RT
1,1,word,noun,yes,1389.56665271
1,2,nonword,duntz,no,601.651511854
1,3,word,hoover,yes,693.611331633
1,4,word,graduate,yes,606.205784716
1,5,word,abandon,no,530.869702226
1,6,nonword,spleace,no,818.907003035
1,7,nonword,vourque,no,782.705166843
1,8,nonword,thrauphth,no,811.889574165
1,9,word,lantern,yes,632.372255903
1,10,word,mechanic,yes,603.002541582
1,11,nonword,phroarlte,no,654.970571864
1,12,word,hold,yes,528.940800228
1,13,word,haddock,no,608.298611944
1,14,word,jaw,yes,492.296508048
1,15,word,path,yes,580.987229478
1,16,word,whisky,yes,514.395635808
1,17,word,carlsberg,yes,794.396605226
1,18,word,absolute,yes,814.89952805
1,19,word,mercy,yes,770.733487327
1,20,word,infant,yes,584.56536266
1,21,word,twin,yes,501.225448563
1,22,word,cabbage,yes,613.941063872
1,23,nonword,brule,no,1322.58848043
1,24,word,cure,yes,594.03311857
1,25,word,expression,yes,566.690946696
1,26,word,pathetic,yes,476.024568779
1,27,nonword,bleafs,no,734.108581208
1,28,word,brim,no,844.678057823
1,29,word,doorway,yes,791.084743687
1,30,word,nescafe,yes,755.624420126
1,31,word,asda,yes,617.459898931
1,32,nonword,lawpth,no,596.777940984
1,33,word,eternal,yes,617.388912127
1,34,word,ducati,yes,725.425386219
1,35,word,inferno,yes,532.59790258
1,36,word,horizontal,yes,603.334383457
1,37,word,fantasy,yes,527.273893473
1,38,word,detective,yes,406.64453432
1,39,word,gravity,yes,555.489003542
1,40,nonword,flewd,no,753.505364642
1,41,word,pony,yes,583.352315356
1,42,nonword,quoud,no,627.997873235
1,43,word,desire,yes,527.999441139
1,44,nonword,furge,no,895.360913593
1,45,word,errand,yes,1008.44429177
1,46,word,where,yes,572.740218253
1,47,nonword,wrarve,no,898.805911071
1,48,word,land,yes,579.906462808
1,49,word,feet,yes,529.910097714
1,50,word,butcher,yes,649.859238067
1,51,word,oxford,yes,523.940365412
1,52,word,moment,yes,459.964164533
1,53,nonword,skreets,no,550.08231895
1,54,word,advice,yes,492.104644189
1,55,word,capacity,yes,389.506214182
1,56,word,kick,yes,603.010523948
1,57,word,flock,yes,550.986331422
1,58,word,butterfly,yes,445.017026854
1,59,word,robot,yes,488.479186432
1,60,word,ornament,yes,705.240050796
1,61,word,favourite,yes,753.092842991
1,62,word,manchester,yes,543.657587143
1,63,word,advantage,yes,606.343767024
1,64,word,aldi,yes,586.998299463
1,65,word,turnip,yes,832.325786585
1,66,word,kleenex,yes,955.434551812
1,67,word,snickers,yes,569.153247285
1,68,word,accurate,yes,550.501682679
1,69,word,gracious,yes,460.526927258
1,70,nonword,swawte,yes,398.610768607
taskNr,question,response,RT
1,How tall is Big Ben?,30,12628.2299345
taskNr,trial,stimulus,response,RT
1,1,jvhz,jvhz,6555.31994661
1,2,lnkzt,lnkzt,12776.7454126
1,3,zdgbfv,zdgbvf,8039.77084672
1,4,cfxbtsk,cfxbckt,8506.79862418
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,8438.00358928
taskNr,trial,type,stimulus,response,RT
2,1,word,smarties,yes,879.38546529
2,2,word,cube,yes,432.538746973
2,3,word,water,yes,435.303525534
2,4,word,tesco,yes,438.121900545
2,5,nonword,semmed,yes,944.836423965
2,6,word,butler,yes,535.220992635
2,7,word,cathedral,yes,485.94190774
