subject = 16; date = 2017_Feb_09_1412;gender = female;age =18; native language = other
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,longer,14809.4144985
taskNr,trial,type,stimulus,response,RT
1,1,word,gorilla,yes,1827.34175771
1,2,nonword,teigged,no,822.448487859
1,3,nonword,squarl,no,1394.20527872
1,4,word,gratitude,yes,678.232732695
1,5,word,flood,yes,647.545454092
1,6,word,waitrose ,yes,1090.13121203
1,7,word,water,yes,594.41766981
1,8,nonword,drufe,no,735.083495732
1,9,word,kenco,no,773.600176908
1,10,word,harbour,yes,802.753675729
1,11,word,patient,yes,550.646795891
1,12,word,adventurer,yes,588.638627902
1,13,word,kid,yes,641.315971501
1,14,word,incident,yes,628.581610508
1,15,word,merry,yes,600.60039768
1,16,word,pond,yes,645.217130892
1,17,word,laundry,yes,616.581353825
1,18,word,tarnish,yes,515.859365463
1,19,word,medicine,yes,563.958177343
1,20,nonword,thalck,no,713.952974416
1,21,word,describe,yes,498.566144146
1,22,nonword,tomps,no,1018.60862272
1,23,word,evidence,yes,541.592080146
1,24,nonword,garphed,no,724.272915628
1,25,word,cathedral,yes,828.229810111
1,26,word,twix,no,552.025202196
1,27,nonword,bloage,no,566.742927767
1,28,word,raspberry,yes,612.774843816
1,29,word,farmyard,yes,993.385361973
1,30,nonword,phlourche,no,597.744944971
1,31,word,exhaustion,yes,659.106103238
1,32,word,bush,yes,989.054002799
1,33,word,ability,yes,538.048992399
1,34,word,always,yes,616.766661871
1,35,word,tesco,yes,604.767260607
1,36,word,graze,yes,457.462849561
1,37,word,fidgety,yes,947.498841677
1,38,word,actual,yes,529.981825966
1,39,word,heineken,no,801.986216102
1,40,word,brutality,yes,670.476597734
1,41,word,hostility,yes,544.450954068
1,42,word,fell,yes,559.157846496
1,43,word,modern,yes,517.224657349
1,44,word,candle,yes,469.260978047
1,45,word,essay,yes,542.699081358
1,46,word,smarties,yes,677.370338235
1,47,word,cube,yes,567.296571098
1,48,word,butler,yes,837.320446968
1,49,word,which,yes,520.508029032
1,50,nonword,skrife,no,1047.89240751
1,51,word,against,yes,482.169813477
1,52,word,part,yes,402.935277671
1,53,nonword,semmed,no,775.084065739
1,54,word,jog,yes,716.277021449
1,55,nonword,gnuicked,no,579.494964797
1,56,word,dreamer,yes,576.80372335
1,57,word,lamp,yes,782.151425257
1,58,word,turn,yes,483.375170268
1,59,word,note,yes,396.828668658
1,60,nonword,ghroil,no,497.627345845
1,61,nonword,skups,no,739.031409845
1,62,word,orchestra,yes,641.594218556
1,63,word,andrex,no,716.866015457
1,64,word,liverpool,yes,652.128831483
1,65,word,ikea,yes,742.787743919
1,66,word,cambridge,yes,477.273692843
1,67,word,dependable,yes,1055.38797053
1,68,word,hood,yes,569.706429262
1,69,nonword,scruilds,no,695.051565301
1,70,word,insect,yes,527.644094545
taskNr,question,response,RT
1,How long is the M25?,600,6055.91852125
taskNr,trial,stimulus,response,RT
1,1,tcsd,tcsd,6572.12398527
1,2,clnwf,clnwf,5654.63619074
1,3,kzvgnt,kzvgnt,6188.22667468
1,4,rztsndv,ztnt,6205.01956437
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,7493.52975981
taskNr,trial,type,stimulus,response,RT
2,1,nonword,quoud,no,1204.9956168
2,2,word,doorway,yes,664.521655999
2,3,word,aldi,no,506.471095607
2,4,word,advice,yes,650.555425324
2,5,word,horizontal,yes,708.473276347
2,6,word,gravity,yes,468.37235475
2,7,word,mercy,yes,453.822261188
2,8,word,gracious,yes,471.926846076
2,9,word,flock,no,513.376809191
2,10,word,errand,yes,649.422765709
2,11,word,ducati,no,611.376481596
2,12,word,infant,yes,343.392988201
2,13,nonword,furge,no,838.219048455
2,14,nonword,wrarve,no,584.690428805
2,15,word,desire,yes,413.350723684
2,16,word,moment,yes,361.529218033
2,17,nonword,spleace,no,663.69803343
2,18,word,manchester,yes,465.657736175
2,19,word,butcher,yes,347.119673155
