subject = 19; date = 2017_Feb_09_1412;gender = female;age =18; native language = other
taskOrder = [2, 1, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,9670.42744594
taskNr,trial,type,stimulus,response,RT
1,1,word,part,yes,1657.17515348
1,2,word,hostility,yes,794.450486716
1,3,nonword,phlourche,no,878.970377984
1,4,word,gratitude,yes,816.756302929
1,5,word,kenco,no,772.641007843
1,6,nonword,teigged,no,762.50928316
1,7,word,dependable,yes,800.388289175
1,8,word,ikea,yes,764.245180952
1,9,word,essay,yes,858.838924138
1,10,word,graze,yes,740.611142073
1,11,word,hood,yes,827.166558096
1,12,word,actual,yes,583.061526158
1,13,word,describe,yes,540.441515011
1,14,word,jog,yes,827.124080059
1,15,word,laundry,yes,646.342683727
1,16,word,twix,yes,792.972308025
1,17,word,smarties,yes,517.485699298
1,18,word,adventurer,yes,892.911441844
1,19,nonword,thalck,no,557.362883603
1,20,nonword,garphed,no,827.391207047
1,21,nonword,tomps,no,710.500200274
1,22,nonword,gnuicked,no,679.171364671
1,23,word,turn,yes,688.475480338
1,24,word,cambridge,yes,665.120257034
1,25,nonword,ghroil,no,1203.01793628
1,26,word,tarnish,yes,951.263436531
1,27,word,flood,yes,669.689639493
1,28,word,ability,yes,566.952371857
1,29,word,against,yes,565.01862334
1,30,nonword,skups,no,835.053503797
1,31,word,pond,yes,662.169031229
1,32,word,heineken,yes,800.200131425
1,33,word,always,yes,732.049394261
1,34,word,note,yes,659.963879414
1,35,word,lamp,yes,549.961727002
1,36,word,fidgety,no,603.978110981
1,37,word,merry,yes,576.702934548
1,38,word,farmyard,yes,630.051073425
1,39,word,modern,yes,610.069005428
1,40,word,patient,yes,494.103677771
1,41,word,dreamer,yes,543.554385429
1,42,word,bush,yes,430.283134652
1,43,word,andrex,yes,778.420586739
1,44,word,exhaustion,yes,608.327405889
1,45,nonword,skrife,no,765.030597016
1,46,word,cathedral,yes,722.896374969
1,47,word,evidence,yes,586.165558865
1,48,word,kid,yes,710.848577199
1,49,word,fell,yes,791.463054798
1,50,word,harbour,yes,844.660952564
1,51,word,butler,yes,703.853670288
1,52,word,raspberry,yes,615.776742276
1,53,nonword,semmed,yes,1395.72283223
1,54,word,water,yes,471.842620296
1,55,word,insect,yes,561.952792361
1,56,nonword,scruilds,no,711.992633338
1,57,word,waitrose ,yes,640.60643813
1,58,word,which,yes,891.25821943
1,59,word,medicine,yes,524.410759772
1,60,word,incident,yes,587.798825154
1,61,word,orchestra,yes,600.506315401
1,62,word,liverpool,yes,517.221708273
1,63,word,gorilla,yes,572.597104365
1,64,nonword,drufe,yes,466.030256337
1,65,nonword,squarl,no,1027.46133857
1,66,word,brutality,yes,574.449032769
1,67,nonword,bloage,no,739.802348837
1,68,word,cube,yes,738.369499059
1,69,word,tesco,yes,568.953401022
1,70,word,candle,yes,598.328246897
taskNr,question,response,RT
