subject = 24; date = 2017_Feb_09_1412;gender = male;age =19; native language = other
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,3361.29851639
taskNr,trial,type,stimulus,response,RT
1,1,nonword,spleace,no,933.511607815
1,2,nonword,duntz,no,580.005103257
1,3,nonword,quoud,no,642.057533376
1,4,word,path,yes,604.726180434
1,5,nonword,bleafs,no,920.683525968
1,6,word,oxford,yes,527.853476349
1,7,word,pony,yes,655.916777439
1,8,word,favourite,yes,649.892593268
1,9,nonword,lawpth,no,555.839946028
1,10,word,horizontal,yes,537.867745385
1,11,word,doorway,yes,536.652987357
1,12,word,robot,yes,583.375692833
1,13,word,twin,yes,460.062519647
1,14,word,capacity,yes,446.16222335
1,15,word,land,yes,457.042872906
1,16,word,lantern,yes,475.124547258
1,17,word,errand,yes,621.335663367
1,18,nonword,vourque,no,793.296737596
1,19,word,mechanic,yes,502.535710577
1,20,word,eternal,yes,422.617131844
1,21,nonword,thrauphth,no,490.794097073
1,22,nonword,swawte,yes,451.579455752
1,23,word,feet,yes,437.674598303
1,24,word,carlsberg,no,456.477259286
1,25,word,cabbage,yes,586.666742805
1,26,word,haddock,no,783.311262727
1,27,word,pathetic,yes,452.500288375
1,28,word,hoover,yes,543.390460312
1,29,nonword,brule,yes,1006.05098205
1,30,word,noun,yes,641.818630043
1,31,nonword,furge,yes,501.076062676
1,32,word,abandon,yes,565.209061839
1,33,word,expression,yes,451.253600884
1,34,word,ornament,yes,550.092582125
1,35,nonword,phroarlte,no,716.828572564
1,36,word,brim,yes,540.074892808
1,37,word,gracious,yes,410.85613193
1,38,word,manchester,yes,566.973753273
1,39,word,whisky,yes,549.02949091
1,40,word,jaw,yes,507.122768555
1,41,word,kleenex,yes,523.162932135
1,42,nonword,flewd,yes,370.600922033
1,43,word,ducati,yes,504.139897879
1,44,word,infant,yes,464.207691606
1,45,word,where,yes,387.04476878
1,46,word,advice,yes,408.576857299
1,47,word,mercy,yes,381.453632377
1,48,word,snickers,yes,498.954441398
1,49,word,cure,yes,427.087588701
1,50,word,advantage,yes,430.538857821
1,51,nonword,skreets,yes,378.734753467
1,52,word,butcher,yes,520.282977726
1,53,word,kick,yes,536.362198181
1,54,word,moment,yes,439.779969864
1,55,word,asda,yes,403.257695027
1,56,word,fantasy,yes,471.460318193
1,57,word,desire,yes,448.91274767
1,58,word,graduate,yes,515.047060791
1,59,word,detective,yes,451.134434436
1,60,word,aldi,yes,453.929432202
1,61,word,absolute,yes,448.132177815
1,62,word,turnip,yes,586.91106271
1,63,word,gravity,yes,423.587854952
1,64,nonword,wrarve,no,635.115082841
1,65,word,accurate,yes,461.751377676
1,66,word,flock,yes,367.888313718
1,67,word,inferno,yes,365.402351134
1,68,word,hold,yes,378.959687427
1,69,word,butterfly,yes,424.532349687
1,70,word,nescafe,yes,675.967551302
taskNr,question,response,RT
1,How tall is Big Ben?,180,10026.5154187
taskNr,trial,stimulus,response,RT
1,1,fmxz,fmxz,6421.79864598
1,2,dcbfs,dcfbs,3569.61651472
1,3,snzcft,snzcft,5220.85728683
1,4,xszrgtw,sxzcrtw,5654.55662506
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,12180.90712
taskNr,trial,type,stimulus,response,RT
2,1,word,water,yes,918.368900195
2,2,nonword,thalck,yes,525.478982832
2,3,word,liverpool,yes,508.892307058
2,4,word,ability,yes,501.034724992
2,5,word,evidence,yes,397.09695382
2,6,word,farmyard,yes,633.923986927
2,7,word,kid,yes,428.674100433
2,8,nonword,phlourche,no,672.105186153
2,9,word,always,yes,705.380599014
2,10,word,andrex,yes,777.335258666
2,11,word,modern,yes,630.551972426
2,12,word,graze,yes,385.910120327
2,13,word,turn,yes,390.759744216
2,14,word,dependable,yes,731.635732111
2,15,word,heineken,no,634.870762471
2,16,word,insect,yes,421.529237647
2,17,word,gratitude,yes,489.019141998
2,18,word,waitrose ,yes,401.803463697
2,19,word,which,yes,421.980816405
2,20,word,laundry,yes,537.419017404
2,21,word,actual,yes,408.212230541
2,22,word,hood,yes,372.423771303
2,23,word,cambridge,yes,529.92007602
2,24,word,butler,yes,361.338998657
2,25,word,lamp,yes,351.545958314
2,26,word,flood,yes,381.785759237
2,27,word,jog,yes,458.637367468
2,28,word,against,yes,516.750743613
2,29,nonword,gnuicked,no,684.175220784
2,30,word,smarties,yes,436.784840189
2,31,word,describe,yes,415.609396063
2,32,word,incident,yes,387.127444148
2,33,word,medicine,yes,655.94585659
2,34,word,orchestra,yes,393.963272218
2,35,word,tarnish,yes,350.821550936
2,36,word,patient,yes,380.982668139
2,37,word,hostility,yes,362.578559201
2,38,word,cube,yes,512.814255431
2,39,nonword,semmed,yes,368.876141962
2,40,word,harbour,yes,590.417923871
2,41,word,exhaustion,yes,475.120556541
2,42,word,adventurer,yes,500.534967054
2,43,word,tesco,yes,484.634211287
2,44,word,fidgety,yes,421.4559705
2,45,nonword,tomps,yes,456.955921371
