subject = 2; date = 2017_Feb_09_1411;gender = male;age =18; native language = other
taskOrder = [2, 1, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,7134.46903019
taskNr,trial,type,stimulus,response,RT
1,1,word,always,yes,2656.34713508
1,2,word,flood,yes,640.775040956
1,3,word,dreamer,yes,803.404524457
1,4,nonword,bloage,no,1335.26984323
1,5,word,kenco,no,701.343763852
1,6,word,cube,yes,1141.87790523
1,7,word,adventurer,yes,580.126778921
1,8,word,dependable,yes,665.531254839
1,9,nonword,teigged,no,675.455179298
1,10,nonword,gnuicked,no,700.719990535
1,11,word,cathedral,yes,565.307033015
1,12,word,fell,yes,491.364817368
1,13,word,describe,yes,580.139037455
1,14,word,part,yes,585.443675984
1,15,word,cambridge,yes,542.846920434
1,16,nonword,skrife,no,733.51227399
1,17,word,modern,yes,524.078416405
1,18,word,ikea,yes,691.48113369
1,19,word,medicine,yes,524.058460258
1,20,word,incident,yes,515.490986174
1,21,nonword,thalck,no,698.811039329
1,22,nonword,skups,no,923.515081871
1,23,nonword,semmed,no,2066.45152019
1,24,word,raspberry,yes,682.691860944
1,25,word,bush,yes,715.223003412
1,26,word,against,yes,499.855887843
1,27,word,tesco,yes,995.908127399
1,28,word,merry,yes,752.95073539
1,29,word,jog,yes,567.49052438
1,30,word,butler,yes,653.527611401
1,31,word,note,yes,992.147527402
1,32,word,orchestra,yes,621.182631934
1,33,word,candle,yes,456.509350101
1,34,word,hood,yes,1130.59268449
1,35,word,essay,yes,650.200630771
1,36,word,exhaustion,yes,1020.17684025
1,37,nonword,tomps,no,1039.86190329
1,38,nonword,scruilds,no,754.143829923
1,39,word,ability,yes,520.687575918
1,40,word,turn,yes,496.77180266
1,41,word,gratitude,yes,577.503681416
1,42,word,patient,yes,446.892466163
1,43,word,graze,yes,778.39572262
1,44,word,evidence,yes,735.543813091
1,45,word,andrex,no,974.140494363
1,46,word,tarnish,yes,875.167239923
1,47,word,fidgety,yes,700.22906852
1,48,nonword,garphed,no,980.802723207
1,49,word,heineken,yes,1057.87606351
1,50,word,farmyard,yes,875.478841597
1,51,word,laundry,yes,757.316862699
1,52,word,gorilla,yes,587.886312511
1,53,word,water,yes,497.213689378
1,54,word,liverpool,yes,553.955386393
1,55,nonword,ghroil,no,559.988995548
1,56,word,which,yes,822.06754596
1,57,word,lamp,yes,473.170481389
1,58,word,insect,yes,411.302896449
1,59,nonword,phlourche,no,527.433050564
1,60,word,pond,yes,502.852166072
1,61,nonword,squarl,yes,967.586884275
1,62,word,hostility,yes,596.648786683
1,63,word,actual,yes,489.319879096
1,64,word,twix,no,698.121125344
1,65,nonword,drufe,yes,419.39541325
1,66,word,kid,yes,527.502042009
1,67,word,waitrose ,yes,1119.56432811
1,68,word,harbour,yes,830.521269701
1,69,word,brutality,yes,737.678839359
1,70,word,smarties,yes,696.211318951
taskNr,question,response,RT
1,How long is the M25?,600,11562.9978175
taskNr,trial,stimulus,response,RT
1,1,whfs,whfs,4603.77200367
1,2,xjksw,xjksw,2201.9021092
1,3,hjlxkd,hxljxd,4870.66427013
1,4,jmckzgx,jmkgzkx,5487.73991968
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,7086.07557416
taskNr,trial,type,stimulus,response,RT
2,1,word,kleenex,no,1918.51605824
2,2,word,whisky,yes,548.864279408
2,3,nonword,skreets,no,1282.85721201
2,4,word,doorway,yes,578.999539372
2,5,word,accurate,yes,416.393148014
2,6,word,path,yes,467.853869544
2,7,nonword,brule,no,661.26975487
2,8,word,noun,yes,583.215995692
2,9,word,turnip,yes,1283.89208252
2,10,word,moment,yes,644.004236441
2,11,word,hold,yes,390.654234914
2,12,word,hoover,no,611.508160131
2,13,word,nescafe,yes,607.520344667
2,14,word,lantern,yes,491.484554484
2,15,word,abandon,yes,556.238088757
2,16,word,inferno,yes,618.265038123
2,17,nonword,thrauphth,no,653.580352664
2,18,word,detective,yes,703.536948189
2,19,word,ornament,yes,623.460772447
2,20,nonword,bleafs,no,682.812738465
2,21,nonword,lawpth,no,939.372263849
2,22,word,where,yes,513.729995582
2,23,word,manchester,yes,577.836664394
2,24,nonword,phroarlte,no,1207.15742698
2,25,word,ducati,no,730.687903706
2,26,word,brim,no,849.92979723
2,27,word,feet,yes,1443.69092444
