subject = 45; date = 2017_Feb_09_1412;gender = male;age =21; native language = other
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,8020.04781459
taskNr,trial,type,stimulus,response,RT
1,1,word,harbour,yes,577.928531216
1,2,word,farmyard,yes,679.31792629
1,3,word,evidence,yes,489.275066415
1,4,word,ikea,yes,570.011694217
1,5,word,gratitude,yes,591.378316516
1,6,word,hood,yes,612.015118822
1,7,word,liverpool,yes,544.696916593
1,8,word,laundry,yes,551.353673683
1,9,word,waitrose ,yes,557.385807391
1,10,word,medicine,yes,475.429011509
1,11,word,note,yes,453.520440962
1,12,word,dreamer,yes,472.235193709
1,13,word,graze,yes,449.74960899
1,14,nonword,skups,no,644.506080076
1,15,word,jog,yes,559.167594649
1,16,nonword,semmed,no,821.13507553
1,17,nonword,scruilds,no,664.318698691
1,18,word,part,yes,570.249455748
1,19,nonword,gnuicked,no,607.58146178
1,20,word,against,yes,508.263501571
1,21,word,ability,yes,492.327196524
1,22,nonword,phlourche,no,533.041177085
1,23,word,fidgety,yes,683.776385384
1,24,word,raspberry,yes,548.269043677
1,25,nonword,squarl,no,659.024367342
1,26,word,actual,yes,493.6779337
1,27,word,flood,yes,526.454266161
1,28,word,tesco,yes,565.773036098
1,29,word,patient,yes,411.1700668
1,30,word,cathedral,yes,551.941520767
1,31,word,butler,yes,582.050018711
1,32,word,always,yes,427.344418596
1,33,word,incident,yes,486.810498172
1,34,word,water,yes,440.213198541
1,35,word,kid,yes,443.704076344
1,36,nonword,bloage,no,542.462412734
1,37,word,smarties,yes,509.190886049
1,38,word,bush,yes,437.290212372
1,39,word,turn,yes,416.748058749
1,40,word,essay,yes,356.168433325
1,41,word,insect,yes,386.378992116
1,42,nonword,garphed,yes,375.213315478
1,43,word,modern,yes,541.36910825
1,44,word,twix,yes,508.067077259
1,45,word,hostility,yes,500.185590936
1,46,word,cambridge,yes,540.232755709
