subject = 47; date = 2017_Feb_09_1412;gender = female;age =19; native language = English
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,longer,3747.74644815
taskNr,trial,type,stimulus,response,RT
1,1,word,fell,yes,912.395782419
1,2,word,note,yes,504.183528479
1,3,nonword,gnuicked,no,560.306869098
1,4,word,heineken,yes,654.309323756
1,5,word,kenco,no,560.950598447
1,6,word,raspberry,yes,399.669867824
1,7,word,orchestra,yes,572.504087468
1,8,word,butler,yes,386.558656115
1,9,nonword,garphed,no,567.357102991
1,10,word,hood,yes,477.453078027
1,11,nonword,tomps,no,527.555638575
1,12,word,tarnish,yes,542.958960054
1,13,word,dreamer,yes,493.681730353
1,14,nonword,teigged,no,454.403117648
1,15,word,laundry,yes,416.537687997
1,16,nonword,squarl,yes,412.024454912
1,17,word,cambridge,yes,464.164256467
1,18,word,turn,yes,370.985136949
1,19,word,hostility,yes,504.510809784
1,20,nonword,scruilds,no,553.246371914
1,21,word,harbour,yes,543.977580732
1,22,nonword,skups,no,478.668694617
1,23,word,farmyard,yes,528.146911762
1,24,word,gratitude,yes,423.547439394
1,25,word,twix,yes,779.014079133
1,26,word,kid,yes,400.222368888
1,27,word,describe,yes,381.063578883
1,28,nonword,bloage,no,555.268788361
1,29,word,bush,yes,386.028391891
1,30,word,lamp,yes,439.555433346
1,31,word,liverpool,yes,418.286134605
1,32,word,insect,yes,406.476351316
1,33,word,cathedral,yes,394.64176516
1,34,nonword,thalck,no,519.485928817
1,35,word,brutality,yes,431.552149006
1,36,nonword,ghroil,no,499.006609782
1,37,nonword,phlourche,no,595.089638839
1,38,word,dependable,yes,543.805102236
1,39,word,actual,yes,406.520254794
1,40,word,water,yes,419.354930753
1,41,word,merry,yes,494.838618557
1,42,word,medicine,yes,432.270571589
1,43,word,candle,yes,403.055291506
1,44,word,andrex,yes,631.232565036
1,45,word,ikea,yes,467.235798016
1,46,word,graze,yes,452.66607462
1,47,word,fidgety,no,615.467181313
1,48,word,essay,yes,426.80428829
1,49,word,smarties,yes,438.308171928
1,50,word,evidence,yes,385.760694044
1,51,word,jog,yes,518.593602348
1,52,nonword,skrife,no,526.682698168
1,53,word,patient,yes,438.744071987
1,54,word,gorilla,yes,505.562215578
1,55,word,adventurer,yes,458.320231177
1,56,word,waitrose ,yes,460.418766248
1,57,word,incident,yes,367.240501917
1,58,word,which,yes,492.764601135
1,59,word,ability,yes,390.213488368
1,60,word,against,yes,403.728955192
1,61,word,always,yes,351.900755079
1,62,word,flood,yes,374.080055626
1,63,nonword,drufe,yes,347.599057481
1,64,word,pond,yes,411.092501134
1,65,word,part,yes,416.024529026
1,66,word,tesco,yes,475.525595946
1,67,nonword,semmed,no,637.616547756
1,68,word,cube,yes,408.943220391
1,69,word,exhaustion,yes,469.095143955
1,70,word,modern,yes,486.550531234
taskNr,question,response,RT
1,How long is the M25?,200,10232.6993444
taskNr,trial,stimulus,response,RT
1,1,dbts,dbts,1651.47155465
1,2,sftdg,sftdg,1818.28955561
1,3,dbstvf,dbstvf,2135.17775969
1,4,wmsxtbf,wmsxtbf,2485.50539743
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,5572.65375881
