subject = 52; date = 2017_Feb_09_1418;gender = female;age =18; native language = other
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,5564.61124588
taskNr,trial,type,stimulus,response,RT
1,1,word,feet,yes,2617.38632829
1,2,nonword,duntz,no,981.370591559
1,3,nonword,thrauphth,no,891.105616814
1,4,word,path,yes,1244.85227349
1,5,nonword,vourque,no,792.483050376
1,6,nonword,furge,no,1014.27194127
1,7,word,favourite,yes,667.367046117
1,8,word,hoover,yes,1077.88953162
1,9,word,cabbage,yes,1040.22112337
1,10,word,gravity,yes,1019.93779931
1,11,word,kick,yes,624.975741724
1,12,nonword,lawpth,no,782.174224034
1,13,word,capacity,yes,636.670087697
1,14,word,flock,yes,713.15668337
1,15,word,kleenex,yes,810.346146696
1,16,word,advice,yes,703.427256318
1,17,word,cure,yes,561.299993773
1,18,word,land,yes,488.435031381
1,19,word,errand,yes,978.433476412
1,20,nonword,wrarve,no,809.445481049
1,21,word,nescafe,yes,854.566461407
1,22,word,oxford,yes,746.369347558
1,23,word,turnip,no,1114.14691794
1,24,nonword,flewd,no,850.5383468
1,25,nonword,brule,no,2510.30975929
1,26,nonword,swawte,no,2902.78969961
1,27,word,horizontal,yes,647.275922121
1,28,word,twin,yes,754.47751442
1,29,nonword,spleace,no,913.637805497
1,30,word,graduate,yes,570.709709544
1,31,word,snickers,yes,553.246252355
1,32,word,carlsberg,yes,696.435902268
1,33,word,desire,yes,514.297132613
1,34,word,moment,yes,514.860981493
1,35,word,asda,yes,667.374510085
1,36,word,eternal,yes,685.894756461
1,37,word,brim,no,759.730360121
1,38,word,gracious,yes,655.54145677
1,39,word,jaw,yes,1018.71058031
1,40,word,doorway,yes,1271.75934566
1,41,nonword,skreets,no,754.088449408
1,42,word,expression,yes,537.200970342
1,43,word,mercy,yes,433.068358456
1,44,word,advantage,yes,532.981899567
1,45,word,pathetic,yes,580.879828311
1,46,word,aldi,yes,586.757479585
1,47,word,noun,yes,768.584624049
1,48,word,detective,yes,583.057162468
1,49,word,accurate,yes,572.911301861
1,50,word,manchester,yes,507.45350495
1,51,word,butterfly,yes,381.383964675
1,52,word,lantern,yes,467.341543757
1,53,word,infant,yes,493.91522049
1,54,word,inferno,yes,471.784848021
1,55,word,absolute,yes,379.040243803
1,56,word,pony,yes,434.294333449
1,57,word,hold,yes,638.195558917
1,58,word,haddock,yes,954.027492669
1,59,word,where,yes,409.132922883
1,60,word,mechanic,yes,454.396031681
1,61,word,robot,yes,434.350314084
1,62,nonword,bleafs,yes,406.193319708
1,63,word,ornament,yes,627.50761956
1,64,word,ducati,yes,871.956832707
1,65,word,whisky,yes,483.10972203
1,66,nonword,phroarlte,no,700.993655599
1,67,nonword,quoud,no,670.802077511
1,68,word,abandon,yes,577.284008265
1,69,word,butcher,no,879.856938496
1,70,word,fantasy,yes,514.267276274
taskNr,question,response,RT
1,How tall is Big Ben?,35,24265.1530136
taskNr,trial,stimulus,response,RT
1,1,djtv,djtv,4051.31896504
1,2,hgbxd,hgbxd,3101.12987505
1,3,mfdtxw,mfdtxw,6685.57317904
1,4,rcwhxmf,rcwhm,4584.93313426
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,11978.4154382
taskNr,trial,type,stimulus,response,RT
2,1,word,hostility,yes,1227.11917653
2,2,word,andrex,yes,815.434471588
2,3,word,describe,yes,435.867699096
2,4,word,candle,yes,872.483050334
2,5,word,waitrose ,yes,459.540026146
2,6,word,graze,yes,766.786403023
2,7,word,hood,yes,429.282204364
2,8,word,farmyard,no,1137.84972322
2,9,word,cube,yes,530.234496458
2,10,nonword,thalck,no,770.749206888
2,11,word,kenco,no,793.223549146
2,12,word,medicine,yes,519.030913711
2,13,word,incident,yes,520.254711737
2,14,word,butler,no,776.824345347
2,15,word,dependable,yes,671.245879261
2,16,word,smarties,yes,954.448902165
2,17,word,evidence,yes,537.527212873
2,18,word,part,yes,585.380356992
2,19,nonword,phlourche,no,711.318032001
2,20,word,tarnish,no,888.453380554
2,21,word,liverpool,yes,746.880325954
2,22,word,tesco,yes,730.659015942
2,23,word,heineken,yes,626.52111717
2,24,word,bush,yes,1231.00485164
2,25,word,raspberry,yes,538.674814859
2,26,nonword,gnuicked,no,739.242085023
2,27,word,lamp,yes,1419.03837782
2,28,nonword,teigged,no,599.954904523
2,29,word,modern,yes,509.809354902
2,30,nonword,ghroil,no,599.052372971
2,31,word,which,yes,532.256017905
2,32,word,turn,yes,636.109970743
2,33,word,always,yes,687.940225122
2,34,word,patient,yes,545.794613427
2,35,word,note,yes,1441.64551841
2,36,word,actual,yes,429.291223525
2,37,word,gratitude,yes,586.524538114
2,38,word,laundry,yes,633.045655326
2,39,word,fell,yes,556.889656116
2,40,nonword,semmed,no,716.79977607
2,41,nonword,scruilds,no,749.282826437
2,42,nonword,garphed,no,628.416371183
2,43,nonword,bloage,no,600.961311255
2,44,word,adventurer,yes,598.109100014
2,45,nonword,skups,no,635.294520063
2,46,word,ikea,yes,551.913292264
2,47,nonword,skrife,no,607.056664769
2,48,word,ability,yes,532.233003643
2,49,word,essay,yes,476.093798527
2,50,word,pond,no,654.670647462
