subject = 56; date = 2017_Feb_09_1515;gender = female;age =19; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,4390.85315727
taskNr,trial,type,stimulus,response,RT
1,1,word,butcher,no,745.513329748
1,2,nonword,spleace,no,648.77766883
1,3,word,whisky,yes,715.378120076
1,4,word,advantage,yes,715.24441475
1,5,word,feet,yes,595.170258544
1,6,word,infant,yes,519.817978609
1,7,word,hold,yes,567.193428054
1,8,word,kick,yes,444.536685012
1,9,nonword,thrauphth,no,487.965130713
1,10,word,flock,yes,816.692247987
1,11,word,where,yes,499.87627333
1,12,nonword,flewd,no,755.906108767
1,13,nonword,brule,yes,809.759262484
1,14,word,expression,yes,725.575330667
1,15,nonword,duntz,no,1077.41715154
1,16,word,hoover,yes,783.033100888
1,17,word,inferno,yes,964.192165527
1,18,word,carlsberg,yes,777.854528744
1,19,word,fantasy,yes,591.096106917
1,20,word,advice,yes,443.695113994
1,21,word,path,yes,551.167081576
1,22,word,errand,yes,653.856460471
1,23,nonword,vourque,no,608.447243925
1,24,word,cabbage,yes,420.451837126
1,25,word,detective,yes,439.940827433
1,26,word,pony,yes,507.358903065
1,27,nonword,quoud,no,540.105492808
1,28,word,pathetic,yes,434.779931325
1,29,word,butterfly,yes,429.608487058
1,30,nonword,skreets,yes,353.019223083
1,31,word,oxford,yes,511.207552161
1,32,word,kleenex,yes,671.294833999
1,33,nonword,wrarve,no,681.166477501
1,34,word,haddock,yes,1187.08199402
1,35,word,accurate,yes,527.931787074
1,36,word,capacity,yes,543.29445539
1,37,nonword,bleafs,no,750.014539342
1,38,word,turnip,yes,700.542573817
1,39,word,doorway,yes,541.195088532
1,40,word,desire,yes,595.845340285
1,41,word,absolute,yes,505.159470718
1,42,nonword,swawte,no,641.229184344
1,43,word,twin,yes,740.485568531
1,44,word,snickers,yes,739.049879368
1,45,word,land,yes,481.569815893
1,46,word,aldi,yes,539.659049362
1,47,word,mechanic,yes,434.348027222
1,48,word,asda,yes,597.1336402
1,49,word,eternal,yes,521.804737393
1,50,word,jaw,yes,465.818006545
1,51,word,robot,yes,587.246602401
1,52,word,horizontal,yes,439.906047191
1,53,nonword,lawpth,yes,442.730100825
1,54,word,ornament,yes,421.467880718
1,55,nonword,furge,yes,464.915711433
1,56,word,graduate,yes,507.009673398
1,57,word,mercy,yes,627.073281445
1,58,word,ducati,no,622.309508733
1,59,word,cure,yes,594.336954877
1,60,word,brim,yes,607.659553643
1,61,word,gravity,yes,499.62739367
1,62,word,nescafe,yes,684.392215684
1,63,word,abandon,yes,540.945068467
1,64,nonword,phroarlte,no,603.637572378
1,65,word,moment,yes,583.61547254
1,66,word,lantern,yes,580.281686503
1,67,word,manchester,yes,673.639089335
1,68,word,gracious,yes,603.527529165
1,69,word,favourite,yes,431.546210777
1,70,word,noun,yes,554.968121462
taskNr,question,response,RT
