subject = 60; date = 2017_Feb_09_1412;gender = female;age =20; native language = other
taskOrder = [2, 1, 3, 4, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,5617.54322052
taskNr,trial,type,stimulus,response,RT
1,1,nonword,scruilds,no,2377.27106595
1,2,word,lamp,yes,637.284852564
1,3,word,heineken,yes,879.885589238
1,4,word,insect,yes,641.685439739
1,5,word,part,yes,812.272893265
1,6,word,cambridge,yes,608.152774163
1,7,word,andrex,no,1492.81640397
1,8,word,turn,yes,669.431715272
1,9,word,raspberry,yes,694.705440663
1,10,word,liverpool,yes,895.976126194
1,11,word,jog,yes,1225.04713899
1,12,nonword,bloage,no,1172.54713457
1,13,word,harbour,yes,633.471257985
1,14,word,waitrose ,yes,556.088095997
1,15,word,brutality,yes,762.080089655
1,16,word,essay,yes,535.950479563
1,17,nonword,phlourche,no,758.741733152
1,18,nonword,squarl,yes,612.575027626
1,19,word,butler,yes,600.599706639
1,20,word,cathedral,yes,812.545720953
1,21,nonword,tomps,no,832.375444472
1,22,word,which,yes,762.888308614
1,23,word,exhaustion,yes,704.70996201
1,24,word,dependable,yes,920.611828566
1,25,nonword,skups,no,583.753122482
1,26,word,note,yes,589.056291152
1,27,word,twix,yes,738.38973185
1,28,word,graze,yes,968.93218765
1,29,word,actual,yes,549.984975718
1,30,nonword,semmed,no,724.003724288
1,31,word,hostility,yes,731.902601197
1,32,nonword,skrife,no,627.154893707
1,33,word,pond,yes,942.451978568
1,34,word,smarties,yes,668.850139715
1,35,word,describe,yes,646.163854748
1,36,word,evidence,yes,601.445842069
1,37,word,fidgety,no,782.080010045
1,38,nonword,thalck,no,691.984294914
1,39,word,ikea,yes,612.594698556
1,40,word,farmyard,yes,872.542630415
1,41,word,modern,yes,554.360190406
1,42,nonword,drufe,no,640.371763613
1,43,word,against,yes,555.713493377
1,44,word,kenco,no,570.47125278
1,45,word,merry,yes,824.409002438
1,46,word,ability,yes,580.330665223
1,47,word,hood,yes,682.311043609
1,48,word,kid,yes,514.931091573
1,49,word,medicine,yes,531.03816323
1,50,word,gorilla,yes,499.079457484
1,51,word,bush,yes,571.155459154
1,52,word,tesco,yes,664.479772095
1,53,word,orchestra,yes,515.098722652
1,54,word,candle,yes,491.879896726
1,55,word,patient,yes,596.659248695
1,56,word,fell,yes,537.352246698
1,57,word,gratitude,yes,656.049495563
1,58,word,water,yes,546.636641491
1,59,word,cube,yes,569.354570936
1,60,word,laundry,yes,622.708408162
1,61,word,adventurer,yes,746.694855858
1,62,word,always,yes,409.269968979
1,63,word,flood,yes,758.085180074
1,64,nonword,ghroil,no,627.957695629
1,65,word,tarnish,no,759.959335439
1,66,nonword,teigged,yes,669.795770198
1,67,nonword,gnuicked,no,751.083754469
1,68,word,incident,yes,1501.60018727
1,69,nonword,garphed,no,677.579756826
1,70,word,dreamer,yes,510.878595058
taskNr,question,response,RT
1,How long is the M25?,25,8294.53513026
taskNr,trial,stimulus,response,RT
1,1,dsvc,dsvc,4136.60748862
1,2,klsrj,klsrj,3919.89227151
1,3,wvrflg,wvlrfg,4436.9019256
1,4,dvltkfh,dvlrtkv,5320.90187538
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,shorter,3621.87652709
taskNr,trial,type,stimulus,response,RT
2,1,word,aldi,yes,1874.3355358
2,2,word,cure,yes,794.732409995
2,3,word,asda,no,847.215879243
2,4,word,graduate,yes,513.673577923
2,5,word,mercy,yes,529.782074504
2,6,word,pathetic,yes,417.153736111
2,7,word,hold,yes,420.633209869
2,8,word,nescafe,yes,1080.05014108
2,9,word,flock,yes,641.074215062
2,10,word,path,yes,475.706114899
2,11,word,fantasy,yes,477.10987879
2,12,nonword,thrauphth,no,598.527702037
2,13,word,favourite,yes,866.515628062
2,14,word,kleenex,yes,771.656412166
2,15,word,brim,no,608.862638008
2,16,word,twin,yes,556.894034147
2,17,word,whisky,yes,434.87011781
2,18,word,detective,yes,469.636349939
2,19,word,land,yes,351.141797379
2,20,word,robot,yes,421.295749955
2,21,word,abandon,yes,1016.73768135
2,22,word,infant,yes,451.764596626
2,23,word,desire,yes,413.875247352
2,24,word,kick,yes,442.065116949
2,25,word,noun,yes,404.832321219
2,26,word,ducati,yes,296.991430689
2,27,nonword,brule,yes,297.918530181
2,28,word,butcher,yes,674.82611211
2,29,word,turnip,yes,428.101892117
2,30,word,feet,yes,431.558559183
2,31,word,advice,no,419.062956702
2,32,word,capacity,yes,478.586623911
2,33,word,hoover,yes,535.981268622
2,34,nonword,flewd,yes,942.646407522
2,35,word,errand,yes,901.062914636
2,36,word,advantage,yes,500.810784753
2,37,nonword,phroarlte,no,644.89180129
2,38,nonword,swawte,no,799.519287888
2,39,nonword,vourque,no,579.354816116
2,40,word,doorway,yes,872.668352909
2,41,word,gravity,yes,513.819826767
2,42,word,manchester,yes,1369.86111198
2,43,word,jaw,yes,606.571402401
2,44,nonword,furge,no,642.568921205
2,45,word,snickers,yes,421.210224275
2,46,word,eternal,yes,576.700665988
2,47,nonword,lawpth,no,606.055396609
2,48,word,mechanic,yes,594.056413975
2,49,nonword,duntz,no,614.668983966
2,50,word,lantern,yes,658.68768096
2,51,word,inferno,yes,580.613756087
2,52,nonword,spleace,no,657.963562291
2,53,nonword,wrarve,no,819.973065052
2,54,word,ornament,no,623.120642267
2,55,nonword,quoud,no,610.40466791
2,56,word,oxford,yes,542.366908863
2,57,word,pony,yes,565.12161484
2,58,word,carlsberg,yes,363.142205868
2,59,word,moment,yes,337.371005677
2,60,nonword,bleafs,yes,368.266626261
2,61,word,absolute,yes,485.787895042
2,62,nonword,skreets,no,662.524937652
2,63,word,horizontal,yes,520.440948196
2,64,word,gracious,yes,511.879531667
2,65,word,expression,yes,535.951334983
2,66,word,cabbage,yes,1990.56080403
2,67,word,where,yes,690.202508122
2,68,word,accurate,yes,602.745263837
2,69,word,butterfly,yes,598.746648058
2,70,word,haddock,no,682.7321155
taskNr,question,response,RT
2,How tall is Big Ben?,100,6138.70657654
taskNr,trial,stimulus,response,RT
2,1,rcgw,rgv,3019.15435493
2,2,rntxh,rntxh,3002.49364693
2,3,mcldkn,mdckn,4170.11677707
2,4,swkzmrj,swlzmrj,5938.06564622
taskNr,trial,type,stimulus,response,RT
3,1,practice,chase,yes,1762.86065532
3,2,practice,sought,yes,520.028143656
3,3,practice,cabinet,yes,519.368169829
3,4,practice,woned,no,782.794150058
3,5,practice,france,yes,459.303979762
3,6,practice,glasgow,yes,429.401028901
3,7,practice,absorb,yes,472.864948679
3,8,practice,dentist,yes,482.299298048
3,9,practice,festival,yes,651.05022816
3,10,practice,jenths,no,852.956085
3,11,summer,sandals,yes,638.818900567
3,12,neutral,table,no,425.43633841
3,13,winter,icicle,yes,676.896976307
3,14,neutral,water,yes,478.196626063
3,15,winter,winter,yes,399.60441459
3,16,neutral,boardroom,yes,907.766995952
3,17,neutral,shoe,yes,467.521012295
3,18,nonword,splooged,no,876.920409966
3,19,neutral,basin,no,1230.07748043
3,20,summer,hot,yes,456.873337273
3,21,neutral,buffalo,yes,626.996100415
3,22,neutral,agility,yes,558.300933335
3,23,neutral,analyse,yes,452.352728695
3,24,neutral,voice,yes,358.469931874
3,25,neutral,eat,yes,420.662858989
3,26,winter,snow,yes,344.150919933
3,27,neutral,dexterity,yes,447.023046669
3,28,neutral,pencil,yes,481.783577241
3,29,neutral,cat,yes,587.243144866
3,30,neutral,hair,yes,519.925512839
3,31,neutral,boldly,no,631.30973652
3,32,neutral,cow,yes,522.629837971
3,33,nonword,fluilts,no,730.029301252
3,34,winter,january,yes,793.287023902
3,35,neutral,horn,yes,1021.73979953
3,36,neutral,predator,yes,1272.71693153
3,37,neutral,walk,yes,633.504042868
3,38,nonword,sckood,no,1588.11322693
3,39,neutral,clean,yes,720.049296971
3,40,neutral,equipment,yes,647.275690455
3,41,neutral,tiger,yes,753.875601105
3,42,winter,freezing,yes,647.74608193
3,43,neutral,dog,yes,1426.31212203
3,44,neutral,sobering,yes,821.061523631
3,45,neutral,circling,yes,1744.1410562
3,46,winter,hibernate,yes,461.928481236
3,47,neutral,trunk,yes,456.048583146
3,48,summer,barbeque,yes,506.152154878
3,49,nonword,gluphs,yes,402.25571394
3,50,nonword,frusk,no,566.358602606
3,51,neutral,house,yes,395.748912357
3,52,summer,august,yes,496.576972771
3,53,neutral,devil,yes,513.354281429
3,54,neutral,arm,yes,489.419890102
3,55,nonword,geigs,no,618.166133296
3,56,neutral,sector,yes,533.50700764
3,57,nonword,sckrulled,no,732.193958946
3,58,nonword,broge,yes,874.737221748
3,59,nonword,glebb,no,979.841287248
3,60,neutral,potential,no,616.893794853
3,61,neutral,horse,yes,412.230301648
3,62,neutral,land,yes,928.353053052
3,63,nonword,floaphts,no,855.399271008
3,64,summer,summer,yes,617.209099699
3,65,nonword,sproped,no,748.51655541
3,66,neutral,citizen,yes,707.065057009
3,67,nonword,moarph,no,610.993940849
3,68,winter,frost,yes,615.015933756
3,69,summer,sandcastle,yes,730.956970714
3,70,summer,suncream,yes,570.186451543
taskNr,taskId,acnhor,question,response,RT
3,season,summer,Thinking about the pictures you saw, which season describes these best? (type 1 for winter, 2 for spring, 3 for summer, 4 for autumn),3,6204.75415047
3,season,summer,Thinking about the pictures you saw, on a day like those shown, what temperature is it? (in degrees Celcius),25,5721.02172533
3,season,summer,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) what a person might do on a day like those.,go to the beach for a swim,14227.5296673
taskNr,trial,stimulus,response,RT
3,1,tnxm,tnxm,2935.83541876
3,2,lcmxk,lcmxk,4019.89529328
3,3,mjbskr,mjbskx,3953.2960779
3,4,zshgmwr,zshjkm,3719.6903741
taskNr,trial,type,stimulus,response,RT
4,1,practice,shrinths,no,658.697088715
4,2,practice,germany,yes,380.665869918
4,3,practice,involve,yes,426.172715146
4,4,practice,dancer,yes,309.682317078
4,5,practice,carrier,yes,285.916696303
4,6,practice,click,yes,326.814272907
4,7,practice,scrape,yes,566.339216661
4,8,practice,portsmouth,yes,515.729047358
4,9,practice,thonz,no,563.086670823
4,10,practice,carnival,yes,401.1033969
4,11,neutral,portrait,yes,493.289646693
4,12,expensive,lamborghini,yes,558.048631996
4,13,neutral,crop,no,652.081384324
4,14,neutral,costume,yes,406.03196295
4,15,neutral,appetite,yes,410.207046662
4,16,neutral,bait,yes,422.347716987
4,17,nonword,dwoacsed,no,625.810143072
4,18,neutral,cotton,yes,509.151258972
4,19,nonword,sowntse,no,605.221805628
4,20,inexpensive,peugeot,yes,793.1755553
4,21,nonword,vakes,no,805.687407963
4,22,neutral,zoo,yes,529.534904752
4,23,neutral,bluster,no,480.966235977
4,24,neutral,fracture,yes,490.339007229
4,25,neutral,diary,yes,611.092010513
4,26,nonword,durpths,no,583.185231313
4,27,inexpensive,kia,yes,451.828456018
4,28,neutral,liberal,no,533.932640683
4,29,neutral,bottle,yes,508.596481755
4,30,inexpensive,fiat,yes,364.710179158
4,31,neutral,forest,yes,594.883733429
4,32,inexpensive,nissan,yes,599.533485249
