subject = 61; date = 2017_Feb_09_1413;gender = female;age =19; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,4396.27992501
taskNr,trial,type,stimulus,response,RT
1,1,nonword,phroarlte,no,912.043189164
1,2,word,pony,yes,713.159622159
1,3,word,advice,yes,506.960057188
1,4,word,lantern,yes,620.194755495
1,5,word,abandon,yes,545.325508341
1,6,word,kick,yes,577.207822353
1,7,word,hoover,yes,711.755140219
1,8,word,path,yes,520.890434273
1,9,word,ornament,yes,602.130857762
1,10,nonword,lawpth,no,655.905186664
1,11,word,inferno,yes,491.092140786
1,12,word,oxford,yes,813.025611453
1,13,word,twin,yes,522.080015391
1,14,word,gracious,yes,738.604828715
1,15,word,hold,yes,522.410609294
1,16,word,desire,yes,499.620733783
1,17,word,detective,yes,556.836294476
1,18,word,land,yes,483.99881972
1,19,word,pathetic,yes,678.586523049
1,20,word,robot,yes,537.057534326
1,21,word,noun,yes,592.920238618
1,22,word,fantasy,yes,438.769877423
1,23,word,where,yes,498.632993083
1,24,word,nescafe,yes,931.151429657
1,25,nonword,flewd,no,802.888830192
1,26,word,mercy,yes,464.047764894
1,27,word,ducati,no,714.611688163
1,28,nonword,thrauphth,no,883.724640589
1,29,nonword,wrarve,no,645.428169519
1,30,word,snickers,yes,561.28610298
1,31,nonword,spleace,no,768.423959613
1,32,word,whisky,yes,631.605087779
1,33,word,carlsberg,yes,763.472194318
1,34,word,doorway,yes,571.268627886
1,35,word,turnip,yes,585.727396887
1,36,word,advantage,yes,576.33110974
1,37,word,butcher,yes,774.778652471
1,38,word,gravity,yes,1013.19050509
1,39,word,infant,yes,514.271390624
1,40,word,feet,yes,491.456634831
1,41,word,accurate,yes,453.36144371
1,42,word,brim,yes,489.2606535
1,43,word,haddock,yes,771.125007421
1,44,nonword,swawte,no,577.555522323
1,45,word,moment,yes,568.070599809
1,46,word,favourite,yes,478.64866117
1,47,nonword,brule,no,745.818818454
1,48,word,mechanic,yes,545.606031548
1,49,nonword,duntz,no,713.486485183
1,50,word,absolute,yes,915.356598794
1,51,word,kleenex,yes,755.665746983
1,52,word,butterfly,yes,523.530836683
1,53,word,manchester,yes,516.049386002
1,54,word,aldi,yes,892.629545182
1,55,nonword,quoud,no,710.365896579
1,56,word,expression,yes,615.448561963
1,57,word,jaw,yes,555.950562004
1,58,word,capacity,yes,475.163890049
1,59,word,cabbage,yes,533.791397233
1,60,word,errand,yes,629.610324278
1,61,word,asda,yes,738.053423353
1,62,word,eternal,yes,553.860010114
1,63,word,graduate,yes,529.047069605
1,64,nonword,skreets,no,970.260174479
1,65,word,horizontal,yes,712.667929009
1,66,word,flock,yes,569.81251901
1,67,nonword,bleafs,no,688.260223716
1,68,word,cure,yes,658.144086134
1,69,nonword,vourque,no,661.933016963
1,70,nonword,furge,no,1177.05686251
taskNr,question,response,RT
1,How tall is Big Ben?,20,9533.90460182
taskNr,trial,stimulus,response,RT
1,1,fjls,fjls,3984.61444676
1,2,gvkht,gvkht,2367.54836654
1,3,fwbskt,fwbskt,2851.06388899
1,4,whxvrls,whxvrls,5952.05539325
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,6217.99616143
taskNr,trial,type,stimulus,response,RT
2,1,word,hostility,yes,785.677387379
2,2,word,fell,yes,431.445793249
2,3,nonword,teigged,no,715.38172802
2,4,word,candle,yes,515.772594605
2,5,word,hood,yes,548.398824874
2,6,word,describe,yes,860.21324154
2,7,word,graze,yes,735.965670552
2,8,word,cathedral,yes,1047.74774332
2,9,nonword,bloage,no,690.760675352
2,10,word,essay,yes,541.27969034
2,11,word,harbour,yes,685.138701927
2,12,nonword,squarl,no,854.935235344
2,13,nonword,gnuicked,no,770.086262375
2,14,word,andrex,no,1152.49054646
2,15,nonword,tomps,no,751.476245932
2,16,word,water,yes,566.565663554
2,17,word,evidence,yes,525.104815606
2,18,word,twix,yes,638.345422689
2,19,word,adventurer,yes,554.137423635
2,20,word,butler,yes,633.336433209
2,21,word,liverpool,yes,757.16259703
2,22,word,waitrose ,yes,852.935807314
2,23,word,merry,yes,560.065111611
2,24,word,dependable,yes,711.894779466
2,25,word,jog,yes,609.074275941
2,26,word,actual,yes,494.233255275
2,27,nonword,garphed,no,704.12005391
2,28,word,incident,yes,625.270299148
2,29,word,always,yes,534.439213108
2,30,word,patient,yes,566.248442046
2,31,word,medicine,yes,500.811247621
2,32,word,dreamer,yes,581.347251777
2,33,word,gratitude,yes,467.226510867
2,34,word,flood,yes,686.401368119
2,35,nonword,ghroil,no,760.179622099
2,36,word,ikea,yes,560.002599843
2,37,word,gorilla,yes,535.894077737
2,38,word,pond,yes,511.759120505
2,39,word,insect,yes,360.97379541
2,40,nonword,phlourche,no,640.202411916
2,41,word,raspberry,yes,916.007525288
2,42,word,kenco,no,957.084597554
2,43,word,brutality,yes,628.126536496
2,44,word,which,no,792.675542179
2,45,word,farmyard,yes,1342.38306107
2,46,word,kid,yes,502.023531124
2,47,word,part,yes,719.205801375
2,48,word,modern,yes,576.430008281
2,49,nonword,thalck,no,663.588477764
2,50,word,note,yes,595.436862204
