subject = 66; date = 2017_Feb_09_1515;gender = male;age =20; native language = other
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,3235.68725353
taskNr,trial,type,stimulus,response,RT
1,1,nonword,brule,no,812.761941925
1,2,word,kick,no,568.665462546
1,3,word,mechanic,yes,574.04078776
1,4,word,lantern,yes,1603.36773889
1,5,word,eternal,yes,903.276653029
1,6,word,hold,yes,607.762362342
1,7,word,land,yes,619.755138643
1,8,word,haddock,no,607.132034376
1,9,word,brim,yes,835.789314471
1,10,word,infant,yes,878.954982851
1,11,word,abandon,yes,712.106953375
1,12,word,whisky,yes,792.040071916
1,13,word,butterfly,yes,628.597127274
1,14,nonword,furge,no,680.59423659
1,15,nonword,phroarlte,no,697.939815
1,16,nonword,bleafs,no,691.172692925
1,17,word,doorway,yes,1140.51763341
1,18,word,asda,no,650.744434912
1,19,word,robot,yes,701.382816769
1,20,word,where,yes,805.384732783
1,21,word,carlsberg,no,697.234223597
1,22,word,aldi,no,682.496910449
1,23,word,path,yes,899.078169838
1,24,word,feet,yes,867.526680697
1,25,word,cabbage,yes,956.703761127
1,26,word,capacity,yes,595.027789008
1,27,nonword,thrauphth,no,768.469892442
1,28,word,gracious,yes,773.737454321
1,29,word,inferno,no,1306.9237778
1,30,word,mercy,yes,602.378770243
1,31,word,ducati,no,607.136595063
1,32,word,oxford,yes,651.801539119
1,33,nonword,duntz,no,629.787937738
1,34,word,desire,yes,617.104964796
1,35,nonword,swawte,no,628.444605041
1,36,word,detective,yes,832.428988069
1,37,word,twin,yes,555.6229949
1,38,nonword,flewd,no,1122.34387547
1,39,word,cure,yes,497.324311174
1,40,word,accurate,yes,546.771313064
1,41,nonword,skreets,no,649.518273305
1,42,word,fantasy,yes,572.193420492
1,43,word,jaw,yes,706.219326239
1,44,word,manchester,yes,1466.08812874
1,45,word,snickers,yes,898.795932997
1,46,word,moment,yes,899.256064557
1,47,word,graduate,yes,707.030115183
1,48,word,horizontal,yes,666.909181047
1,49,word,absolute,yes,652.288468555
1,50,word,pathetic,yes,1886.1611397
1,51,word,advantage,yes,558.57650144
1,52,word,butcher,yes,741.306185722
1,53,word,favourite,yes,515.940525103
1,54,word,turnip,no,835.278437473
1,55,nonword,quoud,no,669.833608437
1,56,word,ornament,yes,855.789058376
1,57,nonword,spleace,no,1441.56547263
1,58,word,nescafe,no,732.305402402
1,59,word,advice,yes,746.902453247
1,60,word,gravity,yes,641.446590889
1,61,nonword,vourque,no,676.083866972
1,62,word,expression,yes,478.092308622
1,63,word,flock,no,623.551363591
1,64,word,kleenex,no,523.571747355
1,65,nonword,wrarve,yes,419.074349105
1,66,word,errand,no,863.159995526
1,67,word,noun,yes,776.994008571
1,68,word,pony,yes,646.195578389
1,69,word,hoover,no,640.850187745
1,70,nonword,lawpth,yes,771.516622975
taskNr,question,response,RT
1,How tall is Big Ben?,25,12895.6174925
taskNr,trial,stimulus,response,RT
1,1,whzg,whzg,2702.28711469
1,2,bjhnr,bjhnr,2118.44558874
