subject = 69; date = 2017_Feb_09_1515;gender = female;age =18; native language = English
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,longer,3550.44325069
taskNr,trial,type,stimulus,response,RT
1,1,word,farmyard,yes,858.521366026
1,2,nonword,garphed,no,1013.01955339
1,3,nonword,tomps,no,737.364456058
1,4,word,kenco,yes,783.91572414
1,5,word,dreamer,yes,556.41122302
1,6,word,describe,yes,538.446582388
1,7,nonword,gnuicked,no,665.164647624
1,8,word,candle,yes,531.135004014
1,9,word,hostility,yes,594.557325356
1,10,nonword,skups,no,607.206838671
1,11,word,part,yes,563.877032138
1,12,word,which,yes,505.918082315
1,13,nonword,scruilds,no,658.010151237
1,14,word,laundry,yes,532.593784388
1,15,nonword,phlourche,no,619.362298865
1,16,word,bush,yes,551.328439731
1,17,word,kid,yes,550.044131
1,18,word,note,yes,420.053288341
1,19,word,merry,yes,495.533856098
1,20,word,cube,yes,560.978571884
1,21,word,cambridge,yes,551.022258122
1,22,word,lamp,yes,429.042592645
1,23,word,insect,yes,600.525583141
1,24,word,always,yes,477.196324151
1,25,nonword,ghroil,no,511.324151885
1,26,word,orchestra,yes,695.422159974
1,27,nonword,skrife,no,704.677734058
1,28,word,patient,yes,648.544183932
1,29,word,flood,yes,627.856125589
1,30,word,fell,yes,519.883548375
1,31,word,ability,yes,519.952253904
1,32,word,smarties,yes,551.351531874
1,33,word,medicine,yes,541.424011812
1,34,word,dependable,yes,716.090832837
1,35,word,ikea,yes,627.335845027
1,36,word,exhaustion,yes,550.645660609
1,37,word,harbour,yes,652.669080999
1,38,word,heineken,yes,639.30343464
1,39,word,hood,yes,466.659577563
1,40,word,actual,yes,460.038189776
1,41,word,andrex,yes,630.168166012
1,42,nonword,drufe,no,705.477967858
1,43,word,graze,yes,698.122201487
1,44,word,gratitude,yes,626.665610354
1,45,word,incident,yes,549.952048808
1,46,word,tarnish,yes,684.005639981
1,47,word,butler,yes,620.593866799
1,48,word,essay,yes,487.940898631
1,49,word,brutality,yes,616.651994176
1,50,nonword,teigged,no,731.971215922
1,51,word,waitrose ,yes,483.930605929
1,52,word,raspberry,yes,484.675818123
1,53,word,jog,yes,581.441128626
1,54,word,adventurer,yes,570.788921788
1,55,word,against,yes,720.161848236
1,56,word,pond,yes,720.020731445
1,57,word,twix,yes,567.251585424
1,58,nonword,bloage,no,628.609890584
1,59,word,water,yes,456.614602357
1,60,word,cathedral,yes,618.674673606
1,61,word,tesco,yes,510.007629171
1,62,word,gorilla,yes,590.101729613
1,63,nonword,squarl,no,642.764653079
1,64,word,fidgety,yes,757.389692124
1,65,word,evidence,yes,699.267673306
1,66,word,modern,yes,443.243823946
1,67,word,liverpool,yes,613.98587795
1,68,nonword,semmed,no,905.962955207
1,69,nonword,thalck,no,585.736506153
1,70,word,turn,yes,582.410702948
taskNr,question,response,RT
1,How long is the M25?,700,8157.73561411
taskNr,trial,stimulus,response,RT
1,1,lmks,lmks,3369.44810953
1,2,gtwkf,gtwkf,3919.85743446
1,3,ctwrsv,ctwrsv,6004.68822522
1,4,njdxswr,njdxwsr,11775.8409726
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,3287.28058422
taskNr,trial,type,stimulus,response,RT
2,1,word,path,yes,546.098837629
2,2,word,lantern,yes,656.802245416
2,3,word,whisky,yes,970.736580435
2,4,word,kleenex,yes,583.757730201
2,5,word,detective,yes,548.455636948
2,6,word,robot,yes,451.206822414
2,7,word,desire,yes,461.294274777
2,8,word,favourite,yes,487.415201496
2,9,word,feet,yes,416.170428507
2,10,word,doorway,yes,491.701171268
2,11,word,fantasy,yes,364.38642256
2,12,nonword,vourque,no,650.569429155
2,13,word,butcher,yes,492.551580537
2,14,nonword,brule,no,717.291611247
2,15,word,cabbage,yes,516.539784614
2,16,nonword,furge,no,643.919532653
2,17,nonword,skreets,no,558.55506286
2,18,word,advice,yes,452.605735045
2,19,word,where,yes,502.718001604
2,20,word,carlsberg,yes,702.75797043
2,21,word,infant,yes,542.75992047
2,22,word,abandon,yes,1037.36696485
2,23,nonword,spleace,no,935.71529584
2,24,word,aldi,yes,630.106017459
2,25,nonword,bleafs,no,689.436512068
2,26,word,mercy,yes,418.020060752
2,27,word,gravity,yes,501.50724547
2,28,word,jaw,yes,637.62627868
2,29,word,twin,yes,448.206871282
2,30,word,brim,no,802.984499373
2,31,word,butterfly,yes,614.823457785
2,32,word,ducati,yes,682.803150732
2,33,word,capacity,yes,1051.36835156
2,34,word,hoover,yes,557.054374833
2,35,word,ornament,yes,563.082785346
2,36,word,gracious,yes,537.094138563
2,37,nonword,swawte,no,575.822670013
2,38,word,turnip,yes,637.18610676
2,39,word,noun,yes,567.811492831
2,40,word,nescafe,yes,653.145743534
2,41,word,kick,yes,631.116359029
2,42,word,cure,yes,770.422074012
2,43,word,errand,yes,1063.57427221
2,44,word,land,yes,529.250305612
2,45,word,absolute,yes,1312.55936902
2,46,word,advantage,yes,840.046708472
2,47,word,eternal,yes,658.52957638
2,48,word,graduate,yes,556.50786683
2,49,word,expression,yes,642.537725158
2,50,word,manchester,yes,765.199884772
2,51,word,asda,yes,499.03641222
2,52,word,hold,yes,459.133614786
2,53,word,mechanic,yes,493.182474282
2,54,nonword,flewd,no,589.976007584
2,55,nonword,lawpth,no,554.661940318
2,56,nonword,thrauphth,no,552.684589755
2,57,nonword,phroarlte,no,454.736461397
2,58,word,flock,yes,600.824922789
2,59,word,pony,yes,444.83573921
2,60,word,snickers,yes,543.605483137
2,61,nonword,duntz,no,694.348528981
2,62,nonword,quoud,no,654.957459774
2,63,word,moment,yes,656.962463167
2,64,word,haddock,yes,578.849134035
2,65,word,inferno,yes,880.176433362
2,66,word,oxford,yes,473.308048211
