subject = 70; date = 2017_Feb_09_1515;gender = male;age =19; native language = English
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,9783.55105314
taskNr,trial,type,stimulus,response,RT
1,1,word,insect,yes,1575.50273463
1,2,word,actual,yes,556.086385157
1,3,word,flood,yes,610.144955106
1,4,word,smarties,yes,718.137510587
1,5,word,dreamer,yes,622.045583092
1,6,word,bush,yes,697.371564806
1,7,word,jog,yes,561.946327798
1,8,word,farmyard,yes,552.029042505
1,9,nonword,teigged,no,693.990730215
1,10,word,andrex,yes,710.600407794
1,11,word,brutality,yes,559.238580987
1,12,word,part,yes,525.244646706
1,13,word,laundry,yes,716.626270209
1,14,nonword,phlourche,no,771.875928622
1,15,word,candle,yes,457.746270113
1,16,word,butler,yes,499.849474523
1,17,word,adventurer,yes,508.582512848
1,18,word,fell,yes,445.388934575
1,19,word,turn,yes,440.158747137
1,20,nonword,skups,no,707.627246622
1,21,word,graze,yes,507.504317444
1,22,word,cathedral,yes,467.637327034
1,23,word,kenco,no,581.7022142
1,24,nonword,squarl,yes,659.777849913
1,25,word,cambridge,yes,781.700845342
1,26,nonword,skrife,no,1059.55787748
1,27,nonword,drufe,no,845.866282005
1,28,word,hostility,yes,617.012390401
1,29,word,ability,yes,500.352651346
1,30,word,evidence,yes,557.126094121
1,31,word,medicine,yes,475.825280882
1,32,nonword,thalck,no,597.178104799
1,33,word,orchestra,no,537.912725937
1,34,word,lamp,yes,584.653709084
1,35,word,water,yes,469.322470017
1,36,word,tesco,yes,470.747900195
1,37,word,essay,yes,672.861584462
1,38,word,merry,yes,722.148384899
1,39,nonword,tomps,no,650.016791653
1,40,word,pond,yes,907.934341114
1,41,word,gratitude,yes,499.718050007
1,42,word,gorilla,yes,427.821652498
1,43,word,patient,yes,519.983385224
1,44,word,cube,yes,479.380303062
1,45,word,dependable,yes,568.812337238
1,46,nonword,scruilds,no,678.150498774
1,47,word,fidgety,yes,695.430129301
1,48,word,heineken,yes,792.033785954
1,49,word,liverpool,yes,468.51852769
1,50,nonword,garphed,no,774.565714411
1,51,word,exhaustion,yes,483.853016514
1,52,word,tarnish,yes,565.296942834
1,53,word,always,yes,506.605441682
1,54,word,kid,yes,579.383039847
1,55,nonword,semmed,no,721.393477637
1,56,nonword,gnuicked,no,808.633486275
1,57,word,hood,yes,500.522277318
1,58,word,incident,yes,516.552946065
1,59,nonword,ghroil,no,707.938845735
1,60,word,twix,yes,595.846183598
1,61,word,against,yes,528.534823563
1,62,word,describe,yes,463.947175071
1,63,word,which,yes,602.039961144
1,64,word,raspberry,yes,605.992392637
1,65,nonword,bloage,no,746.020627674
1,66,word,ikea,yes,536.5802343
1,67,word,waitrose ,yes,551.369638648
1,68,word,harbour,yes,501.320518088
1,69,word,modern,yes,525.449052919
1,70,word,note,yes,532.798569184
taskNr,question,response,RT
1,How long is the M25?,300,12060.4333761
taskNr,trial,stimulus,response,RT
1,1,wcvk,w,3352.76251147
1,2,nczlw,wczlw,35960.8713826
1,3,lrswkn,lrswkn,4570.28651703
1,4,bdrjhcv,bdrhjvc,8656.78131115
taskNr,question,response,RT
