subject = 7; date = 2017_Feb_09_1412;gender = female;age =19; native language = other
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,longer,8391.88070793
taskNr,trial,type,stimulus,response,RT
1,1,word,fidgety,yes,1783.03472803
1,2,word,ikea,yes,547.50826396
1,3,nonword,skups,no,738.249477232
1,4,word,turn,yes,393.503425992
1,5,nonword,semmed,no,1055.04783057
1,6,word,against,yes,521.420191857
1,7,word,andrex,no,993.466934888
1,8,word,gratitude,yes,573.838660493
1,9,word,cathedral,yes,603.217782569
1,10,nonword,bloage,no,799.226557603
1,11,word,raspberry,yes,451.12246077
1,12,word,fell,yes,509.947130573
1,13,word,jog,yes,646.761477343
1,14,nonword,skrife,no,1361.34555598
1,15,word,waitrose ,yes,2094.70749309
1,16,word,modern,yes,518.953614752
1,17,word,cube,yes,550.386792398
1,18,nonword,garphed,no,724.463501014
1,19,word,tesco,yes,468.397052726
1,20,word,farmyard,yes,542.513816152
1,21,word,smarties,yes,701.239987975
1,22,word,flood,yes,477.186300443
1,23,word,insect,yes,471.340011107
1,24,word,ability,yes,400.797674898
1,25,word,bush,yes,557.65452818
1,26,nonword,tomps,yes,531.739504077
1,27,word,kid,yes,451.165794046
1,28,word,patient,yes,445.965513005
1,29,word,pond,yes,400.778859039
1,30,word,candle,yes,517.631093971
1,31,word,describe,yes,501.060953131
1,32,word,dependable,yes,701.13992237
1,33,word,hood,yes,789.753955207
1,34,word,lamp,yes,530.98858369
1,35,word,part,yes,642.440976226
1,36,word,liverpool,yes,2093.64440187
1,37,word,harbour,yes,493.230169639
1,38,word,laundry,yes,486.684560659
1,39,word,heineken,yes,751.461857464
1,40,nonword,ghroil,no,798.076229519
1,41,word,merry,yes,586.574659334
1,42,word,tarnish,no,2191.82568602
1,43,word,orchestra,yes,548.03168471
1,44,word,water,yes,907.441781485
1,45,nonword,drufe,no,683.254958014
1,46,word,dreamer,yes,1027.82824624
1,47,word,note,yes,838.878522743
1,48,word,which,yes,569.396427018
1,49,word,brutality,yes,646.715578157
1,50,word,hostility,yes,545.414296328
1,51,word,adventurer,yes,608.143239398
1,52,word,exhaustion,yes,452.180135413
1,53,word,essay,yes,462.295610108
1,54,word,incident,yes,472.45641367
1,55,word,kenco,no,785.916107357
1,56,word,medicine,yes,598.441426642
1,57,word,evidence,yes,659.141116892
1,58,word,always,yes,733.117046999
1,59,word,butler,no,731.690754183
1,60,word,graze,yes,458.966643433
1,61,nonword,teigged,no,877.081958461
1,62,word,gorilla,yes,950.251375907
1,63,nonword,scruilds,no,651.964894379
1,64,word,twix,yes,1005.93466649
1,65,word,actual,yes,537.670749589
1,66,nonword,thalck,no,656.411974225
1,67,nonword,gnuicked,no,898.346920148
1,68,nonword,squarl,no,1706.78237418
1,69,word,cambridge,yes,1065.94444497
1,70,nonword,phlourche,no,746.922694263
taskNr,question,response,RT
1,How long is the M25?,123,11326.7384991
taskNr,trial,stimulus,response,RT
1,1,ztfr,ztfr,4537.06094739
1,2,kbtzv,kbtfz,7372.43888073
1,3,kvbdmc,kvbfzm,8056.28938659
1,4,lmwchxd,lmwch,6338.29822717
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,shorter,7157.23887051
taskNr,trial,type,stimulus,response,RT
2,1,word,oxford,yes,706.509260344
2,2,nonword,brule,no,746.44374731
2,3,nonword,furge,no,561.024262453
2,4,word,kleenex,no,599.100549007
2,5,word,cabbage,yes,571.117215091
2,6,word,absolute,yes,496.481307549
2,7,word,snickers,yes,561.284832307
2,8,nonword,duntz,no,591.29086195
2,9,word,abandon,yes,588.031456573
2,10,word,haddock,no,1880.71995997
2,11,word,favourite,yes,489.069887786
2,12,nonword,wrarve,no,553.877403727
2,13,word,capacity,yes,479.90974132
2,14,word,path,yes,513.371316483
