subject = 82; date = 2017_Feb_09_1515;gender = female;age =19; native language = other
taskOrder = [1, 2, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,11920.9607503
taskNr,trial,type,stimulus,response,RT
1,1,nonword,quoud,no,1352.6224636
1,2,word,path,yes,510.032428894
1,3,word,brim,yes,766.116587183
1,4,word,land,yes,531.266722246
1,5,word,turnip,yes,635.370152595
1,6,word,where,yes,758.711397153
1,7,word,advantage,yes,493.280591822
1,8,word,eternal,yes,558.010933193
1,9,word,cure,yes,452.07466482
1,10,word,flock,yes,534.161802323
1,11,word,feet,yes,380.952910404
1,12,word,accurate,yes,427.120813634
1,13,word,asda,no,702.630659915
1,14,word,manchester,yes,574.491650448
1,15,word,noun,yes,772.579842771
1,16,word,robot,yes,545.774052618
1,17,nonword,spleace,no,897.144404764
1,18,word,favourite,yes,873.584924499
1,19,word,gracious,yes,578.736627533
1,20,word,advice,yes,440.091798722
1,21,word,infant,yes,546.883619507
1,22,word,inferno,yes,642.255340063
1,23,word,nescafe,yes,796.926454146
1,24,nonword,furge,no,993.407313974
1,25,word,expression,yes,486.421062378
1,26,word,ducati,no,695.23601816
1,27,word,horizontal,yes,575.859793171
1,28,word,moment,yes,461.169293063
1,29,word,detective,yes,495.345777483
1,30,word,aldi,no,616.101833817
1,31,word,doorway,yes,715.405788738
1,32,nonword,skreets,no,987.297568907
1,33,nonword,phroarlte,no,704.347466613
1,34,nonword,bleafs,no,984.229439724
1,35,word,errand,yes,644.600198139
1,36,word,pathetic,yes,511.232083925
1,37,word,capacity,yes,399.336882692
1,38,word,mechanic,yes,428.180775023
1,39,word,fantasy,yes,527.664336056
1,40,word,gravity,yes,407.765827811
1,41,nonword,thrauphth,no,787.875729642
1,42,word,oxford,yes,432.431168796
1,43,word,pony,yes,539.256630087
1,44,word,jaw,yes,353.962382505
1,45,nonword,lawpth,yes,344.165864837
1,46,word,butterfly,yes,567.757560202
1,47,word,absolute,yes,485.103380459
1,48,word,carlsberg,no,821.842958656
1,49,word,graduate,yes,561.032877915
1,50,nonword,wrarve,no,663.036626822
1,51,word,mercy,yes,457.65414412
1,52,word,whisky,yes,419.800295058
1,53,word,desire,yes,367.980499897
1,54,word,kick,yes,382.201885892
1,55,word,twin,yes,395.026905288
1,56,nonword,brule,no,767.81600347
1,57,word,cabbage,yes,597.048187192
1,58,word,abandon,yes,657.716578629
1,59,word,lantern,yes,763.648000458
1,60,nonword,vourque,no,1041.53891111
1,61,word,hold,yes,435.882457736
1,62,word,ornament,yes,534.689502296
1,63,word,snickers,yes,461.401355598
1,64,word,butcher,yes,487.480738666
1,65,nonword,flewd,yes,496.290277748
1,66,nonword,swawte,no,601.053689403
1,67,nonword,duntz,no,605.063467985
1,68,word,kleenex,no,585.066461412
1,69,word,hoover,yes,597.707313253
