subject = 94; date = 2017_Feb_09_1515;gender = female;age =18; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,9205.67327365
taskNr,trial,type,stimulus,response,RT
1,1,word,path,yes,1228.9245727
1,2,nonword,skreets,no,1063.77928401
1,3,word,infant,no,657.52613917
1,4,nonword,vourque,no,748.121191282
1,5,word,expression,yes,514.766333858
1,6,word,haddock,no,1290.78948312
1,7,word,graduate,yes,554.956488311
1,8,word,whisky,yes,561.030311976
1,9,word,abandon,yes,591.119188583
1,10,word,fantasy,yes,627.802461851
1,11,word,gravity,yes,679.869429208
1,12,word,accurate,yes,513.201479567
1,13,nonword,swawte,no,793.979487848
1,14,word,nescafe,yes,967.194509227
1,15,nonword,spleace,no,1084.2452622
1,16,word,ornament,yes,1148.53029442
1,17,word,mechanic,yes,747.433271492
1,18,word,lantern,yes,1050.0354222
1,19,nonword,bleafs,no,987.69640876
1,20,word,robot,yes,640.092653921
1,21,word,snickers,yes,715.408069547
1,22,word,butcher,yes,474.712166935
1,23,word,feet,yes,444.858203642
1,24,word,pony,yes,495.695296908
1,25,nonword,furge,no,688.458024291
1,26,word,kleenex,yes,777.123308275
1,27,word,horizontal,yes,558.311417
1,28,word,ducati,no,652.322407113
1,29,word,pathetic,yes,503.042898839
1,30,word,land,yes,527.144048363
1,31,word,advice,yes,542.58048418
1,32,word,eternal,yes,541.322385892
1,33,word,twin,yes,540.068563772
1,34,word,gracious,yes,442.82238232
1,35,word,capacity,yes,845.609128708
1,36,nonword,quoud,no,632.804350462
1,37,word,jaw,yes,508.218977135
1,38,word,errand,yes,444.294297602
1,39,word,cure,yes,479.097407777
1,40,word,moment,yes,417.253023712
1,41,word,kick,yes,324.752435787
1,42,word,absolute,yes,292.374008568
1,43,word,oxford,yes,253.953402163
1,44,word,turnip,yes,232.281496981
1,45,word,carlsberg,no,395.253265975
1,46,nonword,phroarlte,no,568.176641129
1,47,word,doorway,yes,517.508321209
1,48,word,manchester,yes,508.961919229
1,49,word,favourite,yes,357.041344978
1,50,word,desire,yes,395.323397825
1,51,word,asda,yes,608.122189064
1,52,word,where,yes,596.888822503
1,53,word,advantage,yes,466.203396674
1,54,word,hold,yes,475.686316378
1,55,nonword,wrarve,no,709.82545428
1,56,nonword,duntz,yes,757.766041672
1,57,word,detective,yes,483.659974299
1,58,nonword,flewd,yes,693.185942248
1,59,word,aldi,yes,485.769633669
1,60,word,hoover,yes,374.55408508
1,61,word,brim,yes,492.094335845
1,62,word,flock,yes,436.964655994
1,63,nonword,thrauphth,no,831.740112742
1,64,word,inferno,yes,450.925185345
1,65,word,butterfly,yes,477.070709225
1,66,word,mercy,yes,566.532532219
1,67,word,cabbage,yes,547.913076356
1,68,word,noun,yes,482.627381338
1,69,nonword,lawpth,no,755.437148502
1,70,nonword,brule,no,1009.32441
taskNr,question,response,RT
1,How tall is Big Ben?,2,29307.9341729
taskNr,trial,stimulus,response,RT
1,1,thwv,thwv,8906.9765585
1,2,xzmhg,xzmhg,3819.80770733
1,3,ndhvgc,ndhgvc,4586.93750133
1,4,mwjchbr,mwjcbr,14828.1699417
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,longer,6927.59791017
taskNr,trial,type,stimulus,response,RT
2,1,word,describe,yes,1654.99967942
2,2,word,farmyard,yes,544.223167701
2,3,nonword,drufe,yes,390.984626487
2,4,word,cambridge,yes,419.847334735
2,5,nonword,teigged,no,687.327075517
2,6,word,modern,yes,567.95769278
2,7,word,liverpool,yes,437.377750175
2,8,word,flood,yes,368.212277303
2,9,nonword,garphed,yes,301.696137758
2,10,nonword,skrife,no,861.957279267
2,11,word,fidgety,yes,1167.72220912
2,12,word,graze,yes,500.704312697
2,13,word,pond,yes,772.790808696
2,14,word,note,yes,378.027895931
2,15,word,ikea,yes,447.604182409
2,16,word,hostility,no,498.411340872
2,17,word,incident,yes,554.490367649
2,18,word,merry,yes,440.565616824
2,19,word,against,yes,499.364393996
2,20,word,fell,yes,427.485157503
2,21,nonword,scruilds,no,726.974705467
2,22,word,andrex,yes,502.269736957
2,23,word,evidence,yes,446.357772686
2,24,word,ability,yes,609.1650452
2,25,word,smarties,yes,565.189192304
2,26,word,dreamer,yes,451.259594876
2,27,word,cathedral,yes,700.030646985
2,28,word,part,yes,395.971405553
2,29,nonword,skups,yes,336.862166645
2,30,word,laundry,yes,399.772783974
2,31,word,medicine,yes,379.914900986
2,32,word,tarnish,yes,417.4608537
2,33,word,heineken,yes,1068.96049366
2,34,word,actual,yes,453.921186971
2,35,nonword,semmed,no,1048.05291258
2,36,nonword,bloage,no,914.442187641
2,37,nonword,ghroil,no,658.231734764
2,38,word,which,no,524.201928638
2,39,word,lamp,yes,467.600333737
2,40,word,gratitude,yes,821.085476782
2,41,word,raspberry,yes,584.250821266
2,42,word,kid,yes,436.973778764
2,43,word,candle,yes,359.804428881
2,44,word,turn,yes,494.043205166
2,45,word,orchestra,yes,502.794871107
2,46,word,essay,yes,646.894025151
2,47,word,always,yes,401.551170042
