subject = 96; date = 2017_Feb_09_1515;gender = female;age =20; native language = other
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,2944.72914786
taskNr,trial,type,stimulus,response,RT
1,1,nonword,duntz,no,2950.64862201
1,2,word,expression,yes,467.667252786
1,3,word,kleenex,yes,1125.761173
1,4,word,oxford,yes,524.688232661
1,5,nonword,bleafs,no,436.176072137
1,6,word,twin,yes,455.646136106
1,7,word,mercy,yes,329.803714296
1,8,word,carlsberg,yes,617.417348578
1,9,word,jaw,yes,772.729138727
1,10,word,infant,yes,713.951189129
1,11,word,turnip,yes,482.621308765
1,12,word,asda,yes,531.340656569
1,13,word,desire,yes,402.829282859
1,14,word,hoover,no,711.623482232
1,15,nonword,thrauphth,no,407.595024037
1,16,word,feet,yes,395.77973765
1,17,word,eternal,yes,409.33830975
1,18,word,brim,yes,502.218805021
1,19,word,pony,yes,374.996864091
1,20,word,land,yes,292.496259703
1,21,word,snickers,yes,350.156681903
1,22,word,cure,yes,365.068260406
1,23,word,noun,yes,339.275614184
1,24,nonword,wrarve,no,506.238767703
1,25,word,robot,yes,426.973861264
1,26,word,path,yes,303.1458396
1,27,word,pathetic,yes,423.426567053
1,28,nonword,furge,no,498.898152204
1,29,word,advice,yes,323.005612736
1,30,nonword,vourque,no,458.599031175
1,31,word,gracious,yes,325.445072405
1,32,nonword,skreets,no,493.68454481
1,33,word,where,yes,414.471808675
1,34,word,doorway,yes,347.34347777
1,35,word,accurate,yes,370.938415115
1,36,word,moment,yes,353.133238939
1,37,word,hold,yes,392.050560156
1,38,nonword,spleace,no,508.891469828
1,39,nonword,lawpth,yes,437.708681129
1,40,nonword,flewd,no,456.499391061
1,41,word,butterfly,yes,475.391590735
1,42,nonword,quoud,no,428.820917354
1,43,word,fantasy,yes,521.033176861
1,44,word,favourite,yes,520.376914617
1,45,word,kick,yes,415.854178631
1,46,nonword,phroarlte,no,500.010833173
1,47,word,advantage,yes,644.138796924
1,48,word,gravity,yes,575.448208314
1,49,word,nescafe,yes,605.563575897
1,50,word,butcher,yes,442.266881524
1,51,word,cabbage,yes,381.098791724
1,52,word,ducati,yes,874.560971366
1,53,nonword,brule,no,532.440223702
1,54,nonword,swawte,no,459.909560101
1,55,word,flock,yes,590.695615188
1,56,word,aldi,yes,524.052211345
1,57,word,horizontal,yes,420.189728786
1,58,word,detective,yes,471.71002219
1,59,word,abandon,yes,513.823414716
1,60,word,inferno,yes,649.931408901
1,61,word,absolute,yes,363.937334099
1,62,word,ornament,yes,426.143412973
1,63,word,graduate,yes,333.646925195
1,64,word,whisky,yes,308.573259623
1,65,word,manchester,yes,364.832211228
1,66,word,capacity,yes,331.7114932
1,67,word,lantern,yes,339.289583266
1,68,word,errand,yes,410.899427108
1,69,word,haddock,yes,591.741016455
1,70,word,mechanic,yes,348.528855015
taskNr,question,response,RT
1,How tall is Big Ben?,73,10522.4531779
taskNr,trial,stimulus,response,RT
1,1,cdrh,cdrh,2652.1613322
1,2,csfwb,csfwb,2335.30154996
1,3,cjldtb,cjldtb,2251.89979657
1,4,dfghzvm,dfghzvm,3469.46470439
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,8758.65256987
taskNr,trial,type,stimulus,response,RT
2,1,word,bush,yes,594.877790398
2,2,word,dreamer,yes,295.596828044
2,3,nonword,ghroil,no,480.527940468
2,4,word,merry,yes,465.96986553
2,5,word,against,yes,307.487091428
2,6,word,gorilla,yes,283.694876271
2,7,word,cambridge,yes,276.672699052
2,8,word,cathedral,yes,414.300473465
2,9,word,graze,yes,314.501571382
2,10,word,note,yes,314.784944407
2,11,nonword,garphed,yes,331.013608753
2,12,word,butler,yes,338.60224692
2,13,word,waitrose ,yes,545.489636657
2,14,word,farmyard,yes,328.265688702
2,15,word,jog,yes,359.851232002
2,16,word,always,yes,374.071482976
2,17,word,cube,yes,355.672192731
2,18,word,pond,yes,377.830024081
2,19,word,fell,yes,351.39394438
2,20,word,water,yes,333.59817593
2,21,word,twix,yes,380.484151625
2,22,word,dependable,yes,426.062734332
2,23,word,medicine,yes,365.572573151
2,24,word,flood,yes,315.089128504
2,25,word,fidgety,yes,323.392756138
2,26,word,heineken,yes,458.986744779
2,27,word,brutality,yes,389.11163414
2,28,nonword,skrife,yes,329.987308069
2,29,nonword,squarl,yes,481.530294113
2,30,nonword,skups,no,451.021511253
2,31,word,hostility,yes,469.173634105
2,32,word,raspberry,yes,438.637483225
2,33,nonword,phlourche,no,489.461032499
2,34,nonword,thalck,no,562.268797279
2,35,word,essay,yes,432.317751809
2,36,word,smarties,yes,475.13387521
2,37,word,turn,yes,324.603790941
2,38,word,candle,yes,308.190677548
2,39,nonword,tomps,yes,356.47327741
2,40,nonword,semmed,no,450.685112708
2,41,word,andrex,yes,596.848287678
2,42,word,laundry,yes,313.569348276
2,43,word,evidence,yes,377.805791999
2,44,nonword,scruilds,no,479.342278093
2,45,word,describe,yes,376.81797758
2,46,word,orchestra,yes,382.35287409
2,47,word,kid,yes,627.180603828
2,48,word,which,yes,582.586414501
2,49,word,ikea,yes,339.29557004
2,50,word,exhaustion,yes,418.201841414
2,51,word,modern,yes,317.654024926
2,52,nonword,bloage,no,429.267928324
2,53,word,actual,no,296.786481573
2,54,word,tarnish,yes,537.704861024
2,55,word,part,yes,800.425002526
2,56,nonword,gnuicked,no,508.327004471
2,57,word,patient,yes,396.456810995
2,58,word,hood,yes,465.292792185
2,59,word,adventurer,yes,538.743705372
2,60,word,kenco,no,481.484680728
2,61,nonword,teigged,no,458.967073995
2,62,word,gratitude,yes,469.114906911
2,63,word,harbour,yes,414.58384649
2,64,word,tesco,yes,402.788230858
2,65,word,insect,yes,326.96770347
2,66,word,incident,yes,350.543825305
2,67,word,ability,yes,412.741351698
2,68,word,lamp,yes,344.957043621
2,69,word,liverpool,no,535.855524242
2,70,nonword,drufe,no,406.602078147
taskNr,question,response,RT
2,How long is the M25?,70,13562.3406383
taskNr,trial,stimulus,response,RT
2,1,fwnl,fwnl,1818.22675772
2,2,hdwmv,hdwmv,4536.85987348
2,3,vzshwf,wzfhwz,7138.81372189
2,4,khlmbgt,khlmbgt,2668.86066942
taskNr,trial,type,stimulus,response,RT
3,1,practice,click,yes,369.163485128
3,2,practice,thonz,no,494.651263056
3,3,practice,portsmouth,yes,663.434389746
3,4,practice,carnival,yes,449.41335512
3,5,practice,carrier,yes,451.603366731
3,6,practice,involve,yes,357.753017335
3,7,practice,germany,yes,531.968125375
3,8,practice,scrape,yes,578.740922967
3,9,practice,dancer,yes,440.119062288
3,10,practice,shrinths,no,482.925777935
3,11,expensive,maserati,yes,899.663715478
3,12,neutral,edit,yes,371.478933463
3,13,neutral,birthplace,yes,409.042678133
3,14,neutral,paper,yes,389.267859922
3,15,neutral,portrait,yes,434.102944797
3,16,neutral,write,yes,340.935370419
3,17,neutral,time,yes,355.822431738
3,18,nonword,thourmb,no,506.060020358
3,19,neutral,capture,yes,346.167508222
3,20,expensive,ferrari,yes,353.07166088
3,21,neutral,zoo,no,343.301563611
3,22,neutral,ordinate,yes,422.223799687
3,23,inexpensive,citroen,no,713.705162052
3,24,neutral,stapler,yes,657.659167831
3,25,neutral,clay,yes,739.611271507
3,26,neutral,democracy,yes,466.22644068
3,27,neutral,circus,yes,563.677109836
3,28,expensive,lamborghini,yes,1673.66318638
3,29,nonword,durpths,no,538.2399628
3,30,neutral,forest,yes,416.990236467
3,31,expensive,bentley,yes,532.470442558
3,32,neutral,crop,yes,387.246047612
3,33,nonword,jouche,no,568.107307714
3,34,neutral,candle,yes,453.497461596
3,35,inexpensive,fiat,yes,591.631829448
3,36,inexpensive,kia,yes,692.319336871
3,37,neutral,piece,yes,508.974714234
3,38,neutral,cotton,yes,453.068696021
3,39,inexpensive,peugeot,yes,599.189108441
3,40,neutral,fracture,yes,523.237157555
3,41,nonword,kulced,no,458.664600388
3,42,nonword,vakes,no,524.814524659
3,43,nonword,frirmths,no,564.21876853
3,44,neutral,bluster,yes,762.284248805
3,45,inexpensive,nissan,yes,512.210412184
3,46,neutral,appetite,yes,536.34643805
3,47,neutral,dove,yes,559.055335849
3,48,neutral,costume,yes,485.135745374
3,49,nonword,doarged,no,501.909204322
3,50,neutral,bottle,yes,398.025055416
3,51,nonword,skronnth,no,602.869536669
3,52,nonword,sowntse,no,558.89968024
3,53,neutral,liberal,no,452.99314888
3,54,nonword,twimed,yes,375.133419089
3,55,neutral,bait,yes,524.647750804
3,56,neutral,drone,yes,740.070826141
3,57,expensive,porsche,yes,530.664153368
3,58,inexpensive,hyundai,yes,538.118232129
3,59,neutral,diary,yes,832.819612842
3,60,nonword,dwoacsed,no,531.376862171
3,61,inexpensive,volkswagen,yes,562.75686025
3,62,expensive,rolls royce,yes,520.845591935
3,63,expensive,limousine,yes,424.255304824
3,64,neutral,always,yes,539.762308792
3,65,neutral,day,yes,362.527310994
3,66,neutral,soup,yes,320.748321421
3,67,neutral,locust,yes,520.326454833
3,68,neutral,background,yes,375.837575353
3,69,nonword,kirmbed,no,541.279238183
3,70,neutral,observer,yes,500.049034366
taskNr,taskId,acnhor,question,response,RT
3,cars,expensive,Thinking about the pictures you saw, what type of car describes these best? (type 1 for luxury, 2 for economy, 3 for people carrier, 4 for commercial),1,5987.83377578
3,cars,expensive,Thinking about the pictures you saw, how much would a car like those shown cost? (in pounds),180000,13059.745523
3,cars,expensive,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) who would drive a car like those.,rich celebrity,14610.7885866
taskNr,trial,stimulus,response,RT
3,1,bsnl,bsnl,2418.65312864
3,2,zrdms,nzrdms,3919.75412116
3,3,rgtnsh,rgtnsh,3069.03924572
3,4,lgsknrh,lgsknrh,3586.22721612
taskNr,trial,type,stimulus,response,RT
4,1,practice,sought,yes,436.588873068
4,2,practice,jenths,no,463.389004435
4,3,practice,woned,no,569.559238065
4,4,practice,glasgow,yes,430.963320017
4,5,practice,absorb,yes,506.440606841
4,6,practice,france,yes,466.555712163
4,7,practice,cabinet,yes,460.019887425
