subject = 98; date = 2017_Feb_09_1515;gender = female;age =19; native language = English
taskOrder = [2, 1, 3, 4, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,6543.09173208
taskNr,trial,type,stimulus,response,RT
1,1,word,farmyard,yes,1313.84401949
1,2,word,hostility,yes,769.402049133
1,3,word,twix,yes,566.589755937
1,4,word,modern,yes,339.90253543
1,5,word,evidence,yes,338.758995291
1,6,word,always,yes,321.640676411
1,7,nonword,phlourche,no,481.204574462
1,8,word,graze,yes,378.669427941
1,9,word,orchestra,yes,360.174641479
1,10,word,ikea,yes,294.343681831
1,11,word,essay,yes,407.304971712
1,12,word,cambridge,yes,531.423118664
1,13,nonword,skrife,yes,682.841966511
1,14,nonword,skups,no,564.141593699
1,15,nonword,thalck,no,586.845041078
1,16,word,exhaustion,yes,464.220538153
1,17,word,pond,yes,546.288284473
1,18,nonword,semmed,yes,505.06667234
1,19,word,heineken,yes,737.056486192
1,20,word,describe,yes,496.351990208
1,21,word,note,yes,449.098496407
1,22,nonword,teigged,no,579.873751616
1,23,word,brutality,yes,489.934937097
1,24,word,andrex,no,562.636260409
1,25,word,incident,yes,576.691169175
1,26,word,tesco,yes,430.052324547
1,27,word,kenco,no,633.527762664
1,28,word,actual,yes,476.154580654
1,29,word,turn,yes,414.301635115
1,30,nonword,gnuicked,no,634.462893941
1,31,nonword,ghroil,no,517.053743533
1,32,word,lamp,yes,540.440578014
1,33,nonword,bloage,no,467.205830675
1,34,word,against,yes,477.313801239
1,35,word,patient,yes,422.75858589
1,36,nonword,garphed,yes,378.896938579
1,37,word,bush,yes,712.394395028
1,38,word,water,yes,384.390264517
1,39,nonword,scruilds,no,477.883718093
1,40,word,butler,yes,487.303169793
1,41,word,flood,yes,520.74066957
1,42,word,fidgety,yes,688.822244934
1,43,nonword,squarl,no,593.423176266
1,44,word,dreamer,yes,430.067149864
1,45,nonword,tomps,no,530.202886439
1,46,word,ability,yes,546.278590977
1,47,word,waitrose ,yes,465.027659026
1,48,word,liverpool,yes,387.11754058
1,49,word,candle,yes,383.991693263
1,50,word,merry,yes,524.746623647
1,51,word,kid,yes,364.225071273
1,52,word,raspberry,yes,530.404452817
1,53,word,harbour,yes,825.86658583
1,54,word,medicine,yes,420.997231966
1,55,word,gratitude,yes,457.139769918
1,56,word,jog,yes,387.266078207
1,57,word,adventurer,yes,432.760498952
1,58,word,tarnish,yes,307.552981074
1,59,word,smarties,yes,339.797903318
1,60,word,part,yes,322.708379652
1,61,word,laundry,yes,330.215088732
1,62,word,hood,yes,345.846320852
1,63,word,dependable,yes,376.683699549
1,64,word,insect,yes,270.208172209
1,65,word,cube,yes,344.510337629
1,66,word,fell,yes,312.081810262
1,67,nonword,drufe,yes,280.341801874
1,68,word,cathedral,yes,482.59558226
1,69,word,which,yes,283.355034248
1,70,word,gorilla,yes,324.298672902
taskNr,question,response,RT
1,How long is the M25?,200,9508.93891399
taskNr,trial,stimulus,response,RT
1,1,mkfz,mkfz,2985.97559711
1,2,mhglx,mhglx,4503.91571957
1,3,snxczb,snxczb,7005.83003019
1,4,bwfsnhk,bwfsnh,5621.45002931
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,3337.50426583
taskNr,trial,type,stimulus,response,RT
2,1,word,asda,yes,1026.18167945
2,2,word,robot,yes,333.113710571
2,3,word,abandon,yes,452.044159872
2,4,word,oxford,yes,318.160448573
2,5,word,pathetic,yes,373.72492149
2,6,word,twin,yes,299.224610848
2,7,nonword,quoud,no,547.487989417
2,8,word,fantasy,yes,298.19767701
2,9,nonword,flewd,yes,395.145414339
2,10,word,cabbage,yes,408.015443361
2,11,word,ducati,no,500.134425121
2,12,word,flock,yes,796.210665663
2,13,nonword,bleafs,no,504.76303976
2,14,word,advantage,yes,496.785343741
2,15,word,haddock,yes,273.568942677
2,16,word,errand,yes,435.20552502
2,17,word,pony,yes,317.997941049
2,18,word,snickers,yes,741.512329609
2,19,word,detective,yes,396.08881349
2,20,nonword,swawte,no,488.928245497
2,21,word,kick,yes,313.702039246
2,22,word,turnip,yes,305.930756382
2,23,word,mercy,yes,530.149002327
2,24,nonword,skreets,yes,305.594622274
2,25,word,capacity,yes,393.819694698
2,26,word,path,yes,390.612023417
2,27,nonword,thrauphth,no,411.480275681
2,28,word,butterfly,yes,343.659311126
2,29,word,kleenex,no,358.552701946
2,30,word,carlsberg,yes,716.730210872
2,31,word,aldi,yes,627.987680258
2,32,nonword,wrarve,no,551.373345719
2,33,nonword,duntz,no,509.336629882
2,34,nonword,spleace,no,477.415582282
2,35,word,cure,yes,486.8395956
2,36,word,lantern,yes,303.600626008
2,37,word,jaw,yes,367.864100379
2,38,nonword,furge,yes,333.370016364
2,39,word,advice,yes,476.264914672
2,40,nonword,phroarlte,no,485.709170171
2,41,word,nescafe,yes,606.466831756
2,42,word,eternal,yes,338.468477363
2,43,word,expression,yes,353.335353779
2,44,word,noun,yes,351.541213226
2,45,word,where,yes,317.752183939
2,46,word,land,yes,325.336725626
2,47,word,horizontal,yes,452.856127522
2,48,word,ornament,yes,566.980629403
2,49,word,mechanic,yes,620.358947839
2,50,word,gracious,yes,351.674925536
2,51,word,hold,yes,269.879165688
2,52,word,moment,yes,343.477986928
2,53,word,favourite,yes,302.395789127
2,54,word,feet,yes,294.601698231
2,55,nonword,brule,yes,527.531490079
2,56,word,graduate,yes,294.928424002
2,57,word,whisky,yes,367.854406941
2,58,word,brim,no,493.38579952
2,59,word,desire,yes,374.136607279
2,60,word,infant,yes,355.651229096
2,61,word,absolute,yes,457.852522377
2,62,word,hoover,yes,395.99530038
2,63,word,butcher,yes,368.785831844
2,64,nonword,vourque,no,518.350097758
2,65,word,inferno,yes,405.695291469
2,66,word,doorway,yes,385.879346984
2,67,word,accurate,yes,318.724378303
2,68,nonword,lawpth,no,806.287560263
2,69,word,gravity,yes,434.124992287
2,70,word,manchester,yes,276.913747541
taskNr,question,response,RT
2,How tall is Big Ben?,200,8541.23116302
taskNr,trial,stimulus,response,RT
2,1,kflv,kflv,2935.94493449
2,2,fhsrb,fhsrb,1985.1730378
2,3,txvdsg,txvdsg,5571.41623064
2,4,rjtsknm,rjtskn,4103.57662046
taskNr,trial,type,stimulus,response,RT
3,1,practice,france,yes,1224.96150422
3,2,practice,festival,yes,499.792589049
3,3,practice,glasgow,yes,571.88921317
3,4,practice,dentist,yes,345.215962559
3,5,practice,sought,yes,312.121439318
3,6,practice,woned,no,768.385378993
3,7,practice,absorb,yes,397.564211162
3,8,practice,chase,yes,266.449970892
3,9,practice,jenths,no,563.980511623
3,10,practice,cabinet,yes,314.049292298
3,11,neutral,boldly,yes,426.274451311
3,12,neutral,dog,yes,285.778962949
3,13,neutral,hair,yes,662.666224525
3,14,winter,icicle,yes,488.617200346
3,15,neutral,boardroom,yes,561.372977914
3,16,neutral,potential,yes,367.419913004
3,17,winter,hibernate,yes,252.931337163
3,18,summer,suncream,yes,391.219858779
3,19,neutral,eat,yes,476.079599059
3,20,summer,hot,yes,341.539300163
3,21,nonword,geigs,yes,308.40115645
3,22,summer,sandals,yes,324.657329998
3,23,neutral,horn,yes,364.20910561
3,24,neutral,trunk,yes,370.407486334
3,25,neutral,house,yes,343.922459346
3,26,summer,sandcastle,yes,358.800739748
3,27,neutral,equipment,yes,437.007933506
3,28,neutral,predator,yes,375.774512475
3,29,summer,august,yes,373.296699778
3,30,nonword,broge,yes,354.868341761
3,31,nonword,sckood,no,537.024212768
3,32,nonword,gluphs,no,383.747931919
3,33,summer,summer,yes,452.574447729
3,34,neutral,buffalo,yes,542.710837151
3,35,winter,freezing,yes,389.416880091
3,36,neutral,devil,yes,354.255089536
3,37,nonword,splooged,no,520.476951147
3,38,summer,barbeque,yes,439.860939106
3,39,neutral,sobering,yes,594.701284019
3,40,neutral,analyse,yes,455.366156646
3,41,neutral,land,yes,361.454174737
3,42,neutral,cow,yes,399.665690551
3,43,neutral,horse,yes,363.828780886
3,44,neutral,walk,yes,306.003172009
3,45,nonword,fluilts,yes,314.257415943
3,46,neutral,citizen,yes,426.516502106
3,47,nonword,glebb,no,462.007869384
3,48,neutral,shoe,yes,568.103927304
3,49,neutral,circling,yes,381.434052309
3,50,nonword,frusk,no,626.978137589
3,51,neutral,dexterity,yes,534.246758907
3,52,neutral,pencil,yes,349.024626717
3,53,winter,january,yes,347.188861459
3,54,winter,frost,yes,378.102362098
3,55,neutral,cat,yes,327.616393159
3,56,nonword,moarph,no,599.162829458
3,57,neutral,water,yes,379.170635482
3,58,neutral,arm,yes,304.642384988
3,59,neutral,table,yes,424.936472322
3,60,neutral,basin,yes,324.41185799
3,61,nonword,sproped,no,451.935536403
3,62,neutral,clean,yes,326.059741783
3,63,winter,winter,yes,493.643530761
3,64,nonword,floaphts,no,486.412229249
3,65,neutral,agility,yes,607.121138542
3,66,neutral,tiger,yes,227.162198804
3,67,neutral,voice,yes,310.803417466
3,68,nonword,sckrulled,no,575.018766744
3,69,winter,snow,yes,516.412266297
3,70,neutral,sector,yes,691.749376827
taskNr,taskId,acnhor,question,response,RT
3,season,summer,Thinking about the pictures you saw, which season describes these best? (type 1 for winter, 2 for spring, 3 for summer, 4 for autumn),3,11893.0896936
3,season,summer,Thinking about the pictures you saw, on a day like those shown, what temperature is it? (in degrees Celcius),28,9908.14388136
3,season,summer,Thinking about the pictures you saw, describe in a short sentence (e.g. 6 words) what a person might do on a day like those.,go to the beach and eat icecream,14178.1636018
taskNr,trial,stimulus,response,RT
3,1,tjgn,tjgn,1534.83349673
3,2,xczlb,xczlb,6021.79055399
3,3,lzhwcn,lzwcn,4103.58203744
3,4,dgmwslh,dgmwslh,4920.91041867
taskNr,trial,type,stimulus,response,RT
4,1,practice,carrier,yes,322.33831851
4,2,practice,germany,yes,377.936148201
4,3,practice,shrinths,no,479.436093068
4,4,practice,scrape,yes,344.858731027
4,5,practice,involve,yes,319.735061377
4,6,practice,thonz,no,503.261697886
4,7,practice,dancer,yes,415.345675021
4,8,practice,portsmouth,yes,762.845296471
4,9,practice,click,yes,368.746773049
4,10,practice,carnival,yes,542.216186936
4,11,nonword,dwoacsed,no,516.930009704
4,12,inexpensive,peugeot,no,500.351101859
4,13,neutral,observer,yes,340.421419183
4,14,neutral,birthplace,yes,251.297423325
4,15,nonword,durpths,no,405.57925537
4,16,neutral,liberal,yes,473.747187818
4,17,neutral,cotton,yes,419.182849233
4,18,expensive,rolls royce,yes,1110.64769526
4,19,neutral,candle,yes,286.24453285
4,20,neutral,costume,yes,319.165999768
4,21,neutral,appetite,yes,302.728216921
4,22,neutral,zoo,yes,382.965044584
4,23,inexpensive,kia,no,827.792728145
4,24,nonword,twimed,no,774.921604374
4,25,nonword,kulced,yes,564.113368746
4,26,nonword,sowntse,no,546.17338872
4,27,nonword,doarged,no,360.906780814
4,28,nonword,skronnth,no,463.096099847
4,29,nonword,frirmths,no,353.175982309
4,30,inexpensive,fiat,no,351.402939239
4,31,neutral,background,yes,453.59624963
4,32,neutral,diary,yes,359.748700575
4,33,expensive,maserati,yes,645.907417987
4,34,neutral,fracture,yes,336.548892432
4,35,neutral,democracy,yes,431.407124503
4,36,expensive,porsche,yes,338.916370994
4,37,neutral,piece,yes,809.788885585
4,38,neutral,bottle,yes,445.617983525
4,39,neutral,capture,yes,496.3859173
4,40,neutral,drone,yes,569.201281003
4,41,nonword,kirmbed,no,654.52545078
4,42,expensive,bentley,yes,568.524736329
4,43,expensive,lamborghini,yes,541.831300594
4,44,neutral,bait,yes,436.551771883
4,45,expensive,ferrari,yes,407.370259811
4,46,neutral,soup,yes,715.500285209
4,47,neutral,always,yes,418.741512869
4,48,neutral,edit,yes,334.217906639
4,49,neutral,dove,yes,421.051401121
4,50,neutral,write,yes,384.579856647
4,51,neutral,locust,yes,493.402620486
4,52,neutral,portrait,yes,342.158539512
4,53,neutral,forest,yes,317.036010267
4,54,nonword,jouche,yes,292.598863773
4,55,inexpensive,citroen,no,421.514975373
4,56,expensive,limousine,yes,688.955387159
4,57,neutral,clay,yes,465.55794694
4,58,neutral,stapler,yes,371.016747144
4,59,inexpensive,volkswagen,yes,592.557609663
4,60,neutral,ordinate,yes,325.195315527
4,61,neutral,paper,yes,332.783563586
4,62,neutral,day,yes,315.674938087
4,63,neutral,crop,yes,323.232680326
