type,word
practice,phlynsed
practice,knurdge
practice,sticker
practice,column
practice,angel
practice,tin
practice,cupboard
practice,carpet
practice,belgium
practice,scaffold
nonword,ghreests
nonword,quoigned
nonword,phreuze
nonword,fribbs
nonword,hoossed
nonword,sworntch
nonword,dwurme
nonword,fenth
nonword,flurld
nonword,blainnth
nonword,gnulked
nonword,pylmbs
neutral,magnetic
neutral,eye
neutral,ceramic
neutral,ruby
neutral,climate
neutral,orange
neutral,alliance
neutral,fresh
neutral,pavement
neutral,officer
neutral,emperor
neutral,palace
neutral,beginner
neutral,digital
neutral,ghost
neutral,window
neutral,prince
neutral,tower
neutral,hole
neutral,supply
neutral,train
neutral,shoe
neutral,bookcase
neutral,bungalow
neutral,lounge
neutral,telephone
neutral,wrapper
neutral,dormant
neutral,easter
neutral,hydrant
neutral,chess
neutral,monopoly
neutral,visit
neutral,calculator
littleDog,small
littleDog,little
littleDog,terrier
littleDog,chihuahua
littleDog,dachschund
littleDog,pug
littleDog,lap dog
bigDog,rottweiler
bigDog,doberman
bigDog,mastiff
bigDog,guard dog
bigDog,alsatian
bigDog,big
bigDog,large
